id,correct,question,a,b,c,d
E1F11,3,Which of the following best describes one of the standards that must be met by an external RF power amplifier if it is to qualify for a grant of FCC certification?,It must produce full legal output when driven by not more than 5 watts of mean RF input power,It must have received an Underwriters Laboratory certification for electrical safety as well as having met IEEE standard 14.101(B),It must exhibit a gain of less than 23 dB when driven by 10 watts or less,It must satisfy the FCC’s spurious emission standards when operated at the lesser of 1500 watts or its full output power
E2A01,2,What is the direction of an ascending pass for an amateur satellite?,From west to east,From east to west,From south to north,From north to south
E2A02,3,Which of the following is characteristic of an inverting linear transponder?,Doppler shift is reduced because the uplink and downlink shifts are in opposite directions,Signal position in the band is reversed,"Upper sideband on the uplink becomes lower sideband on the downlink, and vice versa",All these choices are correct
E2A03,3,How is an upload signal processed by an inverting linear transponder?,The signal is detected and remodulated on the reverse sideband,The signal is passed through a nonlinear filter,"The signal is reduced to I and Q components, and the Q component is filtered out",The signal is mixed with a local oscillator signal and the difference product is transmitted
E2A04,1,What is meant by the “mode” of an amateur radio satellite?,Whether the satellite is in a low earth or geostationary orbit,The satellite’s uplink and downlink frequency bands,The satellite’s orientation with respect to the Earth,Whether the satellite is in a polar or equatorial orbit
E2A05,3,What do the letters in a satellite’s mode designator specify?,Power limits for uplink and downlink transmissions,The location of the ground control station,The polarization of uplink and downlink signals,The uplink and downlink frequency ranges
E2A06,0,What are Keplerian elements?,Parameters that define the orbit of a satellite,Phase reversing elements in a Yagi antenna,High-emission heater filaments used in magnetron tubes,Encrypting codes used for spread spectrum modulation
E2A07,3,Which of the following types of signals can be relayed through a linear transponder?,FM and CW,SSB and SSTV,PSK and packet,All these choices are correct
E2A08,1,Why should effective radiated power (ERP) be limited to a satellite that uses a linear transponder?,To prevent creating errors in the satellite telemetry,To avoid reducing the downlink power to all other users,To prevent the satellite from emitting out-of-band signals,To avoid interfering with terrestrial QSOs
E2A09,0,What do the terms “L band” and “S band” specify?,The 23- and 13-centimeter bands,The 2-meter and 70-centimeter bands,FM and digital store-and-forward systems,Which sideband to use
E2A10,1,What type of satellite appears to stay in one position in the sky?,HEO,Geostationary,Geomagnetic,LEO
E2A11,1,What type of antenna can be used to minimize the effects of spin modulation and Faraday rotation?,A linearly polarized antenna,A circularly polarized antenna,An isotropic antenna,A log-periodic dipole array
E2A12,2,What is the purpose of digital store-and-forward functions on an amateur radio satellite?,To upload operational software for the transponder,To delay download of telemetry between satellites,To hold digital messages in the satellite for later download,To relay messages between satellites
E2A13,1,Which of the following techniques is used by digital satellites to relay messages?,Digipeating,Store-and-forward,Multisatellite relaying,Node hopping
E2B01,0,"In digital television, what does a coding rate of 3/4 mean?",25% of the data sent is forward error correction data,Data compression reduces data rate by 3/4,1/4 of the time interval is used as a guard interval,"Three, four-bit words are used to transmit each pixel"
E2B02,2,How many horizontal lines make up a fast-scan (NTSC) television frame?,30,60,525,1080
E2B03,3,How is an interlaced scanning pattern generated in a fast-scan (NTSC) television system?,By scanning two fields simultaneously,By scanning each field from bottom-to-top,By scanning lines from left-to-right in one field and right-to-left in the next,By scanning odd-numbered lines in one field and even-numbered lines in the next
E2B04,0,How is color information sent in analog SSTV?,Color lines are sent sequentially,Color information is sent on a 2.8 kHz subcarrier,Color is sent in a color burst at the end of each line,Color is amplitude modulated on the frequency modulated intensity signal
E2B05,2,Which of the following describes the use of vestigial sideband in analog fast-scan TV transmissions?,The vestigial sideband carries the audio information,The vestigial sideband contains chroma information,Vestigial sideband reduces the bandwidth while increasing the fidelity of low frequency video components,Vestigial sideband provides high frequency emphasis to sharpen the picture
E2B06,0,What is vestigial sideband modulation?,Amplitude modulation in which one complete sideband and a portion of the other are transmitted,A type of modulation in which one sideband is inverted,Narrow-band FM modulation achieved by filtering one sideband from the audio before frequency modulating the carrier,Spread spectrum modulation achieved by applying FM modulation following single sideband amplitude modulation
E2B07,1,Which types of modulation are used for amateur television DVB-T signals?,FM and FSK,QAM and QPSK,AM and OOK,All these choices are correct
E2B08,0,What technique allows commercial analog TV receivers to be used for fast-scan TV operations on the 70-centimeter band?,Transmitting on channels shared with cable TV,Using converted satellite TV dishes,Transmitting on the abandoned TV channel 2,Using USB and demodulating the signal with a computer sound card
E2B09,3,What kind of receiver can be used to receive and decode SSTV using the Digital Radio Mondiale (DRM) protocol?,CDMA,AREDN,AM,SSB
E2B10,0,What aspect of an analog slow-scan television signal encodes the brightness of the picture?,Tone frequency,Tone amplitude,Sync amplitude,Sync frequency
E2B11,1,What is the function of the vertical interval signaling (VIS) code sent as part of an SSTV transmission?,To lock the color burst oscillator in color SSTV images,To identify the SSTV mode being used,To provide vertical synchronization,To identify the call sign of the station transmitting
E2B12,0,What signals SSTV receiving software to begin a new picture line?,Specific tone frequencies,Elapsed time,Specific tone amplitudes,A two-tone signal
E2C01,3,What indicator is required to be used by US-licensed operators when operating a station via remote control and the remote transmitter is located in the US?,/ followed by the USPS two-letter abbreviation for the state in which the remote station is located,/R# where # is the district of the remote station,/ followed by the ARRL Section of the remote station,No additional indicator is required
E2C02,2,Which of the following file formats is used for exchanging amateur radio log data?,NEC,ARLD,ADIF,OCF
E2C03,0,From which of the following bands is amateur radio contesting generally excluded?,30 meters,6 meters,70 centimeters,33 centimeters
E2C04,1,Which of the following frequencies can be used for amateur radio mesh networks?,HF frequencies where digital communications are permitted,Frequencies shared with various unlicensed wireless data services,Cable TV channels 41-43,The 60-meter band channel centered on 5373 kHz
E2C05,1,What is the function of a DX QSL Manager?,Allocate frequencies for DXpeditions,Handle the receiving and sending of confirmations for a DX station,Run a net to allow many stations to contact a rare DX station,"Communicate to a DXpedition about propagation, band openings, pileup conditions, etc."
E2C06,2,"During a VHF/UHF contest, in which band segment would you expect to find the highest level of SSB or CW activity?","At the top of each band, usually in a segment reserved for contests","In the middle of each band, usually on the national calling frequency","In the weak signal segment of the band, with most of the activity near the calling frequency","In the middle of the band, usually 25 kHz above the national calling frequency"
E2C07,0,What is the Cabrillo format?,A standard for submission of electronic contest logs,A method of exchanging information during a contest QSO,The most common set of contest rules,A digital protocol specifically designed for rapid contest exchanges
E2C08,3,Which of the following contacts may be confirmed through the Logbook of The World (LoTW)?,Special event contacts between stations in the US,Contacts between a US station and a non-US station,Contacts for Worked All States credit,All these choices are correct
E2C09,2,What type of equipment is commonly used to implement an amateur radio mesh network?,"A 2-meter VHF transceiver with a 1,200-baud modem",A computer running EchoLink to provide interface from the radio to the internet,A wireless router running custom firmware,"A 440 MHz transceiver with a 9,600-baud modem"
E2C10,3,Why do DX stations often transmit and receive on different frequencies?,Because the DX station may be transmitting on a frequency that is prohibited to some responding stations,To separate the calling stations from the DX station,To improve operating efficiency by reducing interference,All these choices are correct
E2C11,0,How should you generally identify your station when attempting to contact a DX station during a contest or in a pileup?,Send your full call sign once or twice,Send only the last two letters of your call sign until you make contact,Send your full call sign and grid square,"Send the call sign of the DX station three times, the words “this is,” then your call sign three times"
E2C12,2,What indicates the delay between a control operator action and the corresponding change in the transmitted signal?,Jitter,Hang time,Latency,Anti-VOX
E2D01,1,Which of the following digital modes is designed for meteor scatter communications?,WSPR,MSK144,Hellschreiber,APRS
E2D02,3,What information replaces signal-to-noise ratio when using the FT8 or FT4 modes in a VHF contest?,RST report,State abbreviation,Serial number,Grid square
E2D03,3,Which of the following digital modes is designed for EME communications?,MSK144,PACTOR III,WSPR,Q65
E2D04,2,What technology is used for real-time tracking of balloons carrying amateur radio transmitters?,FT8,Bandwidth compressed LORAN,APRS,PACTOR III
E2D05,1,What is the characteristic of the JT65 mode?,Uses only a 65 Hz bandwidth,Decodes signals with a very low signal-to-noise ratio,Symbol rate is 65 baud,Permits fast-scan TV transmissions over narrow bandwidth
E2D06,0,Which of the following is a method for establishing EME contacts?,Time-synchronous transmissions alternating between stations,Storing and forwarding digital messages,Judging optimum transmission times by monitoring beacons reflected from the moon,High-speed CW identification to avoid fading
E2D07,2,What digital protocol is used by APRS?,PACTOR,QAM,AX.25,AMTOR
E2D08,2,What type of packet frame is used to transmit APRS beacon data?,Acknowledgement,Burst,Unnumbered Information,Connect
E2D09,0,What type of modulation is used by JT65?,Multitone AFSK,PSK,RTTY,QAM
E2D10,2,What does the packet path WIDE3-1 designate?,"Three stations are allowed on frequency, one transmitting at a time","Three subcarriers are permitted, subcarrier one is being used",Three digipeater hops are requested with one remaining,Three internet gateway stations may receive one transmission
E2D11,3,How do APRS stations relay data?,By packet ACK/NAK relay,By C4FM repeaters,By DMR repeaters,By packet digipeaters
E2E01,1,Which of the following types of modulation is used for data emissions below 30 MHz?,DTMF tones modulating an FM signal,FSK,Pulse modulation,Spread spectrum
E2E02,1,Which of the following synchronizes WSJT-X digital mode transmit/receive timing?,Alignment of frequency shifts,Synchronization of computer clocks,Sync-field transmission,Sync-pulse timing
E2E03,1,"To what does the ""4"" in FT4 refer?",Multiples of 4 bits of user information,Four-tone continuous-phase frequency shift keying,Four transmit/receive cycles per minute,All these choices are correct
E2E04,3,Which of the following is characteristic of the FST4 mode?,Four-tone Gaussian frequency shift keying,Variable transmit/receive periods,Seven different tone spacings,All these choices are correct
E2E05,0,Which of these digital modes does not support keyboard-to-keyboard operation?,WSPR,RTTY,PSK31,MFSK16
E2E06,2,What is the length of an FT8 transmission cycle?,It varies with the amount of data,8 seconds,15 seconds,30 seconds
E2E07,2,How does Q65 differ from JT65?,Keyboard-to keyboard operation is supported,Quadrature modulation is used,Multiple receive cycles are averaged,All these choices are correct
E2E08,1,Which of the following HF digital modes can be used to transfer binary files?,PSK31,PACTOR,RTTY,AMTOR
E2E09,3,Which of the following HF digital modes uses variable-length character coding?,RTTY,PACTOR,MT63,PSK31
E2E10,2,Which of these digital modes has the narrowest bandwidth?,MFSK16,"170 Hz shift, 45-baud RTTY",FT8,PACTOR IV
E2E11,0,What is the difference between direct FSK and audio FSK?,Direct FSK modulates the transmitter VFO,Direct FSK occupies less bandwidth,Direct FSK can transmit higher baud rates,All these choices are correct
E2E12,0,How do ALE stations establish contact?,"ALE constantly scans a list of frequencies, activating the radio when the designated call sign is received",ALE radios monitor an internet site for the frequency they are being paged on,ALE radios send a constant tone code to establish a frequency for future use,ALE radios activate when they hear their signal echoed by back scatter
E2E13,3,Which of these digital modes has the highest data throughput under clear communication conditions?,MFSK16,"170 Hz shift, 45 baud RTTY",FT8,PACTOR IV
E3A01,3,What is the approximate maximum separation measured along the surface of the Earth between two stations communicating by EME?,"2,000 miles, if the moon is at perigee","2,000 miles, if the moon is at apogee","5,000 miles, if the moon is at perigee","12,000 miles, if the moon is “visible” by both stations"
E3A02,1,What characterizes libration fading of an EME signal?,A slow change in the pitch of the CW signal,"A fluttery, irregular fading",A gradual loss of signal as the sun rises,The returning echo is several hertz lower in frequency than the transmitted signal
E3A03,0,"When scheduling EME contacts, which of these conditions will generally result in the least path loss?",When the Moon is at perigee,When the Moon is full,When the Moon is at apogee,When the MUF is above 30 MHz
E3A04,3,In what direction does an electromagnetic wave travel?,It depends on the phase angle of the magnetic field,It travels parallel to the electric and magnetic fields,It depends on the phase angle of the electric field,It travels at a right angle to the electric and magnetic fields
E3A05,2,How are the component fields of an electromagnetic wave oriented?,They are parallel,They are tangential,They are at right angles,They are 90 degrees out of phase
E3A06,1,What should be done to continue a long-distance contact when the MUF for that path decreases due to darkness?,Switch to a higher frequency HF band,Switch to a lower frequency HF band,Change to an antenna with a higher takeoff angle,Change to an antenna with greater beam width
E3A07,2,Atmospheric ducts capable of propagating microwave signals often form over what geographic feature?,Mountain ranges,Stratocumulus clouds,Large bodies of water,Nimbus clouds
E3A08,0,"When a meteor strikes the Earth’s atmosphere, a linear ionized region is formed at what region of the ionosphere?",The E region,The F1 region,The F2 region,The D region
E3A09,2,Which of the following frequency ranges is most suited for meteor-scatter communications?,1.8 MHz - 1.9 MHz,10 MHz - 14 MHz,28 MHz - 148 MHz,220 MHz - 450 MHz
E3A10,3,What determines the speed of electromagnetic waves through a medium?,Resistance and reactance,Evanescence,Birefringence,The index of refraction
E3A11,1,What is a typical range for tropospheric duct propagation of microwave signals?,10 miles to 50 miles,100 miles to 300 miles,"1,200 miles","2,500 miles"
E3A12,2,What is most likely to result in auroral propagation?,Meteor showers,Quiet geomagnetic conditions,Severe geomagnetic storms,Extreme low-pressure areas in polar regions
E3A13,0,Which of these emission modes is best for auroral propagation?,CW,SSB,FM,RTTY
E3A14,1,What are circularly polarized electromagnetic waves?,Waves with an electric field bent into a circular shape,Waves with rotating electric and magnetic fields,Waves that circle Earth,Waves produced by a loop antenna
E3B01,0,Where is transequatorial propagation (TEP) most likely to occur?,"Between points separated by 2,000 miles to 3,000 miles over a path perpendicular to the geomagnetic equator","Between points located 1,500 miles to 2,000 miles apart on the geomagnetic equator",Between points located at each other’s antipode,Through the region where the terminator crosses the geographic equator
E3B02,2,What is the approximate maximum range for signals using transequatorial propagation?,"1,000 miles","2,500 miles","5,000 miles","7,500 miles"
E3B03,2,At what time of day is transequatorial propagation most likely to occur?,Morning,Noon,Afternoon or early evening,Late at night
