id,correct,question,a,b,c,d
T1A11,1,When is willful interference to other amateur radio stations permitted?,To stop another amateur station which is breaking the FCC rules,At no time,When making short test transmissions,"At any time, stations in the Amateur Radio Service are not protected from willful interference"
T1B01,1,What is the International Telecommunications Union (ITU)?,An agency of the United States Department of Telecommunications Management,A United Nations agency for information and communication technology issues,An independent frequency coordination agency,A department of the FCC
T1B02,1,Which amateur radio stations may make contact with an amateur radio station on the International Space Station (ISS) using 2 meter and 70 cm band frequencies?,Only members of amateur radio clubs at NASA facilities,Any amateur holding a Technician or higher-class license,Only the astronaut's family members who are hams,Contacts with the ISS are not permitted on amateur radio frequencies
T1B03,1,Which frequency is within the 6 meter amateur band?,49.00 MHz,52.525 MHz,28.50 MHz,222.15 MHz
T1B04,0,Which amateur band are you using when your station is transmitting on 146.52 MHz?,2 meter band,20 meter band,14 meter band,6 meter band
T1B05,1,What is the limitation for emissions on the frequencies between 219 and 220 MHz?,Spread spectrum only,Fixed digital message forwarding systems only,Emergency traffic only,Fast-scan television only
T1B06,1,On which HF bands does a Technician class operator have phone privileges?,None,10 meter band only,"80 meter, 40 meter, 15 meter and 10 meter bands",30 meter band only
T1B07,0,Which of the following VHF/UHF frequency ranges are limited to CW only?,50.0 MHz to 50.1 MHz and 144.0 MHz to 144.1 MHz,219 MHz to 220 MHz and 420.0 MHz to 420.1 MHz,902.0 MHz to 902.1 MHZ,All of these choices are correct
T1B08,0,Which of the following is a result of the fact that the Amateur Radio Service is secondary in all or portions of some amateur bands (such as portions of the 70 cm band)?,"U.S. amateurs may find non-amateur stations in those portions, and must avoid interfering with them",U.S. amateurs must give foreign amateur stations priority in those portions,International communications are not permitted in those portions,Digital transmissions are not permitted in those portions
T1B09,3,Why should you not set your transmit frequency to be exactly at the edge of an amateur band or sub-band?,To allow for calibration error in the transmitter frequency display,So that modulation sidebands do not extend beyond the band edge,To allow for transmitter frequency drift,All of these choices are correct
T1B10,3,Which of the following HF bands have frequencies available to the Technician class operator for RTTY and data transmissions?,"10 meter, 12 meter, 17 meter, and 40 meter bands","10 meter, 15 meter, 40 meter, and 80 meter bands",30 meter band only,10 meter band only
T1B11,0,What is the maximum peak envelope power output for Technician class operators using their assigned portions of the HF bands?,200 watts,100 watts,50 watts,10 watts
T1B12,3,"Except for some specific restrictions, what is the maximum peak envelope power output for Technician class operators using frequencies above 30 MHz?",50 watts,100 watts,500 watts,1500 watts
T1C01,3,For which license classes are new licenses currently available from the FCC?,"Novice, Technician, General, Advanced","Technician, Technician Plus, General, Advanced","Novice, Technician Plus, General, Advanced","Technician, General, Amateur Extra"
T1C02,3,Who may select a desired call sign under the vanity call sign rules?,Only a licensed amateur with a General or Amateur Extra class license,Only a licensed amateur with an Amateur Extra class license,Only a licensed amateur who has been licensed continuously for more than 10 years,Any licensed amateur
T1C03,0,What types of international communications is an FCC-licensed amateur radio station permitted to make?,Communications incidental to the purposes of the Amateur Radio Service and remarks of a personal character,Communications incidental to conducting business or remarks of a personal nature,"Only communications incidental to contest exchanges, all other communications are prohibited",Any communications that would be permitted by an international broadcast station
T1C04,0,When are you allowed to operate your amateur station in a foreign country?,When the foreign country authorizes it,When there is a mutual agreement allowing third party communications,When authorization permits amateur communications in a foreign language,When you are communicating with non-licensed individuals in another country
T1C05,0,Which of the following is a valid call sign for a Technician class amateur radio station?,K1XXX,KA1X,W1XX,All of these choices are correct
T1C06,3,From which of the following locations may an FCC-licensed amateur station transmit?,From within any country that belongs to the International Telecommunications Union,From within any country that is a member of the United Nations,From anywhere within International Telecommunications Union (ITU) Regions 2 and 3,From any vessel or craft located in international waters and documented or registered in the United States
T1C07,1,What may result when correspondence from the FCC is returned as undeliverable because the grantee failed to provide and maintain a correct mailing address with the FCC?,Fine or imprisonment,Revocation of the station license or suspension of the operator license,Require the licensee to be re-examined,A reduction of one rank in operator class
T1C08,2,What is the normal term for an FCC-issued primary station/operator amateur radio license grant?,Five years,Life,Ten years,Twenty years
T1C09,0,What is the grace period following the expiration of an amateur license within which the license may be renewed?,Two years,Three years,Five years,Ten years
T1C10,2,How soon after passing the examination for your first amateur radio license may you operate a transmitter on an Amateur Radio Service frequency?,Immediately,30 days after the test date,As soon as your operator/station license grant appears in the FCC’s license database,You must wait until you receive your license in the mail from the FCC
T1C11,0,"If your license has expired and is still within the allowable grace period, may you continue to operate a transmitter on Amateur Radio Service frequencies?","No, transmitting is not allowed until the FCC license database shows that the license has been renewed","Yes, but only if you identify using the suffix GP","Yes, but only during authorized nets","Yes, for up to two years"
T1D01,0,With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?,Any country whose administration has notified the International Telecommunications Union (ITU) that it objects to such communications,Any country whose administration has notified the American Radio Relay League (ARRL) that it objects to such communications,Any country engaged in hostilities with another country,Any country in violation of the War Powers Act of 1934
T1D02,1,Under which of the following circumstances may an amateur radio station make one-way transmissions?,Under no circumstances,"When transmitting code practice, information bulletins, or transmissions necessary to provide emergency communications","At any time, as long as no music is transmitted","At any time, as long as the material being transmitted did not originate from a commercial broadcast station"
T1D03,2,When is it permissible to transmit messages encoded to hide their meaning?,Only during contests,Only when operating mobile,Only when transmitting control commands to space stations or radio control craft,Only when frequencies above 1280 MHz are used
T1D04,0,Under what conditions is an amateur station authorized to transmit music using a phone emission?,When incidental to an authorized retransmission of manned spacecraft communications,When the music produces no spurious emissions,When the purpose is to interfere with an illegal transmission,When the music is transmitted above 1280 MHz
T1D05,0,When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?,When the equipment is normally used in an amateur station and such activity is not conducted on a regular basis,When the asking price is $100.00 or less,When the asking price is less than its appraised value,When the equipment is not the personal property of either the station licensee or the control operator or their close relatives
T1D06,1,"What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?",The FCC maintains a list of words that are not permitted to be used on amateur frequencies,Any such language is prohibited,The ITU maintains a list of words that are not permitted to be used on amateur frequencies,There is no such prohibition
T1D07,1,What types of amateur stations can automatically retransmit the signals of other amateur stations?,"Auxiliary, beacon, or Earth stations","Repeater, auxiliary, or space stations","Beacon, repeater, or space stations","Earth, repeater, or space stations"
T1D08,1,In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?,When the communication is related to the sale of amateur equipment by the control operator's employer,When the communication is incidental to classroom instruction at an educational institution,When the communication is made to obtain emergency information for a local broadcast station,All of these choices are correct
T1D09,0,"Under which of the following circumstances are amateur stations authorized to transmit signals related to broadcasting, program production, or news gathering, assuming no other means is available?",Only where such communications directly relate to the immediate safety of human life or protection of property,Only when broadcasting communications to or from the space shuttle,Only where noncommercial programming is gathered and supplied exclusively to the National Public Radio network,Only when using amateur repeaters linked to the internet
T1D10,3,What is the meaning of the term broadcasting in the FCC rules for the Amateur Radio Service?,Two-way transmissions by amateur stations,Transmission of music,Transmission of messages directed only to amateur operators,Transmissions intended for reception by the general public
T1D11,3,When may an amateur station transmit without on-the-air identification?,When the transmissions are of a brief nature to make station adjustments,When the transmissions are unmodulated,When the transmitted power level is below 1 watt,When transmitting signals to control model craft
T1E01,3,When is an amateur station permitted to transmit without a control operator?,"When using automatic control, such as in the case of a repeater",When the station licensee is away and another licensed amateur is using the station,When the transmitting station is an auxiliary station,Never
T1E02,3,Who may be the control operator of a station communicating through an amateur satellite or space station?,Only an Amateur Extra Class operator,A General class or higher licensee who has a satellite operator certification,Only an Amateur Extra Class operator who is also an AMSAT member,Any amateur whose license privileges allow them to transmit on the satellite uplink frequency
T1E03,0,Who must designate the station control operator?,The station licensee,The FCC,The frequency coordinator,The ITU
T1E04,3,What determines the transmitting privileges of an amateur station?,The frequency authorized by the frequency coordinator,The frequencies printed on the license grant,The highest class of operator license held by anyone on the premises,The class of operator license held by the control operator
T1E05,2,What is an amateur station control point?,The location of the station’s transmitting antenna,The location of the station transmitting apparatus,The location at which the control operator function is performed,The mailing address of the station licensee
T1E06,0,"When, under normal circumstances, may a Technician class licensee be the control operator of a station operating in an exclusive Amateur Extra class operator segment of the amateur bands?",At no time,When operating a special event station,As part of a multi-operator contest team,When using a club station whose trustee is an Amateur Extra class operator licensee
T1E07,3,"When the control operator is not the station licensee, who is responsible for the proper operation of the station?",All licensed amateurs who are present at the operation,Only the station licensee,Only the control operator,The control operator and the station licensee are equally responsible
T1E08,0,Which of the following is an example of automatic control?,Repeater operation,Controlling the station over the internet,Using a computer or other device to send CW automatically,Using a computer or other device to identify automatically
T1E09,3,Which of the following is true of remote control operation?,The control operator must be at the control point,A control operator is required at all times,The control operator indirectly manipulates the controls,All of these choices are correct
T1E10,1,Which of the following is an example of remote control as defined in Part 97?,Repeater operation,Operating the station over the internet,"Controlling a model aircraft, boat, or car by amateur radio",All of these choices are correct
T1E11,3,"Who does the FCC presume to be the control operator of an amateur station, unless documentation to the contrary is in the station records?",The station custodian,The third-party participant,The person operating the station equipment,The station licensee
T1F01,1,When must the station licensee make the station and its records available for FCC inspection?,At any time ten days after notification by the FCC of such an inspection,At any time upon request by an FCC representative,Only after failing to comply with an FCC notice of violation,Only when presented with a valid warrant by an FCC official or government agent
T1F02,2,"When using tactical identifiers such as “Race Headquarters” during a community service net operation, how often must your station transmit the station’s FCC-assigned call sign?","Never, the tactical call is sufficient",Once during every hour,At the end of each communication and every ten minutes during a communication,At the end of every transmission
T1F03,3,When is an amateur station required to transmit its assigned call sign?,"At the beginning of each contact, and every 10 minutes thereafter",At least once during each transmission,At least every 15 minutes during and at the end of a communication,At least every 10 minutes during and at the end of a communication
T1F04,2,Which of the following is an acceptable language to use for station identification when operating in a phone sub-band?,Any language recognized by the United Nations,Any language recognized by the ITU,The English language,"English, French, or Spanish"
T1F05,1,What method of call sign identification is required for a station transmitting phone signals?,Send the call sign followed by the indicator RPT,Send the call sign using a CW or phone emission,Send the call sign followed by the indicator R,Send the call sign using only a phone emission
T1F06,3,Which of the following formats of a self-assigned indicator is acceptable when identifying using a phone transmission?,KL7CC stroke W3,KL7CC slant W3,KL7CC slash W3,All of these choices are correct
T1F07,1,Which of the following restrictions apply when a non-licensed person is allowed to speak to a foreign station using a station under the control of a Technician class control operator?,The person must be a U.S. citizen,The foreign station must be one with which the U.S. has a third-party agreement,The licensed control operator must do the station identification,All of these choices are correct
T1F08,0,What is meant by the term Third Party Communications?,A message from a control operator to another amateur station control operator on behalf of another person,Amateur radio communications where three stations are in communications with one another,Operation when the transmitting equipment is licensed to a person other than the control operator,Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments
T1F09,2,What type of amateur station simultaneously retransmits the signal of another amateur station on a different channel or channels?,Beacon station,Earth station,Repeater station,Message forwarding station
T1F10,0,Who is accountable should a repeater inadvertently retransmit communications that violate the FCC rules?,The control operator of the originating station,The control operator of the repeater,The owner of the repeater,Both the originating station and the repeater owner
T1F11,1,Which of the following is a requirement for the issuance of a club station license grant?,The trustee must have an Amateur Extra class operator license grant,The club must have at least four members,The club must be registered with the American Radio Relay League,All of these choices are correct
T2A01,1,Which of the following is a common repeater frequency offset in the 2 meter band?,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz
T2A02,0,What is the national calling frequency for FM simplex operations in the 2 meter band?,146.520 MHz,145.000 MHz,432.100 MHz,446.000 MHz
T2A03,0,What is a common repeater frequency offset in the 70 cm band?,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz
T2A04,1,What is an appropriate way to call another station on a repeater if you know the other station's call sign?,"Say ""break, break,"" then say the station's call sign","Say the station's call sign, then identify with your call sign","Say ""CQ"" three times, then the other station's call sign","Wait for the station to call CQ, then answer it"
T2A05,2,How should you respond to a station calling CQ?,"Transmit ""CQ"" followed by the other station’s call sign",Transmit your call sign followed by the other station’s call sign,Transmit the other station’s call sign followed by your call sign,Transmit a signal report followed by your call sign
T2A06,0,Which of the following is required when making on-the-air test transmissions?,Identify the transmitting station,Conduct tests only between 10 p.m. and 6 a.m. local time,Notify the FCC of the transmissions,All of these choices are correct
T2A07,0,"What is meant by ""repeater offset?""",The difference between a repeater’s transmit frequency and its receive frequency,The repeater has a time delay to prevent interference,The repeater station identification is done on a separate frequency,The number of simultaneous transmit frequencies used by a repeater
T2A08,3,What is the meaning of the procedural signal “CQ”?,Call on the quarter hour,A new antenna is being tested (no station should answer),Only the called station should transmit,Calling any station
T2A09,1,What brief statement indicates that you are listening on a repeater and looking for a contact?,The words “Hello test” followed by your call sign,Your call sign,The repeater call sign followed by your call sign,The letters “QSY” followed by your call sign
T2A10,0,"What is a band plan, beyond the privileges established by the FCC?",A voluntary guideline for using different modes or activities within an amateur band,A mandated list of operating schedules,A list of scheduled net frequencies,A plan devised by a club to indicate frequency band usage
T2A11,2,What term describes an amateur station that is transmitting and receiving on the same frequency?,Full duplex,Diplex,Simplex,Multiplex
T2A12,3,Which of the following is a guideline when choosing an operating frequency for calling CQ?,Listen first to be sure that no one else is using the frequency,Ask if the frequency is in use,Make sure you are in your assigned band,All of these choices are correct
T2B01,2,What is the most common use of the “reverse split” function of a VHF/UHF transceiver?,Reduce power output,Increase power output,Listen on a repeater’s input frequency,Listen on a repeater’s output frequency
T2B02,3,What term describes the use of a sub-audible tone transmitted along with normal voice audio to open the squelch of a receiver?,Carrier squelch,Tone burst,DTMF,CTCSS
T2B03,1,"If a station is not strong enough to keep a repeater’s receiver squelch open, which of the following might allow you to receive the station’s signal?",Open the squelch on your radio,Listen on the repeater input frequency,Listen on the repeater output frequency,Increase your transmit power
T2B04,3,Which of the following could be the reason you are unable to access a repeater whose output you can hear?,Improper transceiver offset,The repeater may require a proper CTCSS tone from your transceiver,The repeater may require a proper DCS tone from your transceiver,All of these choices are correct
T2B05,2,What might be the problem if a repeater user says your transmissions are breaking up on voice peaks?,You have the incorrect offset,You need to talk louder,You are talking too loudly,Your transmit power is too high
T2B06,0,What type of tones are used to control repeaters linked by the Internet Relay Linking Project (IRLP) protocol?,DTMF,CTCSS,EchoLink,Sub-audible
T2B07,2,How can you join a digital repeater’s “talk group”?,Register your radio with the local FCC office,Join the repeater owner’s club,Program your radio with the group’s ID or code,Sign your call after the courtesy tone
T2B08,0,Which of the following applies when two stations transmitting on the same frequency interfere with each other?,"Common courtesy should prevail, but no one has absolute right to an amateur frequency",Whoever has the strongest signal has priority on the frequency,Whoever has been on the frequency the longest has priority on the frequency,The station that has the weakest signal has priority on the frequency
T2B09,1,What is a “talk group” on a DMR digital repeater?,A group of operators sharing common interests,A way for groups of users to share a channel at different times without being heard by other users on the channel,A protocol that increases the signal-to-noise ratio when multiple repeaters are linked together,A net that meets at a particular time
T2B10,0,Which Q signal indicates that you are receiving interference from other stations?,QRM,QRN,QTH,QSB
T2B11,1,Which Q signal indicates that you are changing frequency?,QRU,QSY,QSL,QRZ
T2B12,0,Why are simplex channels designated in the VHF/UHF band plans?,So that stations within mutual communications range can communicate without tying up a repeater,For contest operation,For working DX only,So that stations with simple transmitters can access the repeater without automated offset
T2B13,2,Where may SSB phone be used in amateur bands above 50 MHz?,Only in sub-bands allocated to General class or higher licensees,Only on repeaters,In at least some portion of all these bands,On any band as long as power is limited to 25 watts
T2B14,0,Which of the following describes a linked repeater network?,A network of repeaters where signals received by one repeater are repeated by all the repeaters,A repeater with more than one receiver,Multiple repeaters with the same owner,A system of repeaters linked by APRS
T2C01,3,When do the FCC rules NOT apply to the operation of an amateur station?,When operating a RACES station,When operating under special FEMA rules,When operating under special ARES rules,"Never, FCC rules always apply"
T2C02,1,"What is meant by the term ""NCS"" used in net operation?",Nominal Control System,Net Control Station,National Communications Standard,Normal Communications Syntax
T2C03,2,What should be done when using voice modes to ensure that voice messages containing unusual words are received correctly?,Send the words by voice and Morse code,Speak very loudly into the microphone,Spell the words using a standard phonetic alphabet,All of these choices are correct
T2C04,3,What do RACES and ARES have in common?,They represent the two largest ham clubs in the United States,Both organizations broadcast road and weather information,Neither may handle emergency traffic supporting public service agencies,Both organizations may provide communications during emergencies
T2C05,0,What does the term “traffic” refer to in net operation?,Formal messages exchanged by net stations,The number of stations checking in and out of a net,Operation by mobile or portable stations,Requests to activate the net by a served agency
T2C06,2,Which of the following is an accepted practice to get the immediate attention of a net control station when reporting an emergency?,"Repeat ""SOS"" three times followed by the call sign of the reporting station",Press the push-to-talk button three times,"Begin your transmission by saying ""Priority"" or ""Emergency"" followed by your call sign",Play a pre-recorded emergency alert tone followed by your call sign
T2C07,2,Which of the following is an accepted practice for an amateur operator who has checked into a net?,"Provided that the frequency is quiet, announce the station call sign and location every 5 minutes",Move 5 kHz away from the net's frequency and use high power to ask other hams to keep clear of the net frequency,Remain on frequency without transmitting until asked to do so by the net control station,All of these choices are correct
T2C08,0,Which of the following is a characteristic of good traffic handling?,Passing messages exactly as received,Making decisions as to whether messages are worthy of relay or delivery,Ensuring that any newsworthy messages are relayed to the news media,All of these choices are correct
T2C09,3,Are amateur station control operators ever permitted to operate outside the frequency privileges of their license class?,No,"Yes, but only when part of a FEMA emergency plan","Yes, but only when part of a RACES emergency plan","Yes, but only if necessary in situations involving the immediate safety of human life or protection of property"
T2C10,3,What information is contained in the preamble of a formal traffic message?,The email address of the originating station,The address of the intended recipient,The telephone number of the addressee,The information needed to track the message
T2C11,0,"What is meant by the term “check,” in reference to a formal traffic message?",The number of words or word equivalents in the text portion of the message,The value of a money order attached to the message,A list of stations that have relayed the message,A box on the message form that indicates that the message was received and/or relayed
T2C12,0,What is the Amateur Radio Emergency Service (ARES)?,Licensed amateurs who have voluntarily registered their qualifications and equipment for communications duty in the public service,Licensed amateurs who are members of the military and who voluntarily agreed to provide message handling services in the case of an emergency,A training program that provides licensing courses for those interested in obtaining an amateur license to use during emergencies,A training program that certifies amateur operators for membership in the Radio Amateur Civil Emergency Service
T3A01,3,"What should you do if another operator reports that your station’s 2 meter signals were strong just a moment ago, but now they are weak or distorted?",Change the batteries in your radio to a different type,Turn on the CTCSS tone,Ask the other operator to adjust his squelch control,"Try moving a few feet or changing the direction of your antenna if possible, as reflections may be causing multi-path distortion"
T3A02,1,Why might the range of VHF and UHF signals be greater in the winter?,Less ionospheric absorption,Less absorption by vegetation,Less solar activity,Less tropospheric absorption
T3A03,2,What antenna polarization is normally used for long-distance weak-signal CW and SSB contacts using the VHF and UHF bands?,Right-hand circular,Left-hand circular,Horizontal,Vertical
T3A04,1,What can happen if the antennas at opposite ends of a VHF or UHF line of sight radio link are not using the same polarization?,The modulation sidebands might become inverted,Signals could be significantly weaker,Signals have an echo effect on voices,Nothing significant will happen
T3A05,1,"When using a directional antenna, how might your station be able to access a distant repeater if buildings or obstructions are blocking the direct line of sight path?",Change from vertical to horizontal polarization,Try to find a path that reflects signals to the repeater,Try the long path,Increase the antenna SWR
T3A06,1,What term is commonly used to describe the rapid fluttering sound sometimes heard from mobile stations that are moving while transmitting?,Flip-flopping,Picket fencing,Frequency shifting,Pulsing
T3A07,0,What type of wave carries radio signals between transmitting and receiving stations?,Electromagnetic,Electrostatic,Surface acoustic,Ferromagnetic
T3A08,2,Which of the following is a likely cause of irregular fading of signals received by ionospheric reflection?,Frequency shift due to Faraday rotation,Interference from thunderstorms,Random combining of signals arriving via different paths,Intermodulation distortion
T3A09,1,Which of the following results from the fact that skip signals refracted from the ionosphere are elliptically polarized?,Digital modes are unusable,Either vertically or horizontally polarized antennas may be used for transmission or reception,FM voice is unusable,Both the transmitting and receiving antennas must be of the same polarization
T3A10,3,What may occur if data signals arrive via multiple paths?,Transmission rates can be increased by a factor equal to the number of separate paths observed,Transmission rates must be decreased by a factor equal to the number of separate paths observed,No significant changes will occur if the signals are transmitted using FM,Error rates are likely to increase
T3A11,2,Which part of the atmosphere enables the propagation of radio signals around the world?,The stratosphere,The troposphere,The ionosphere,The magnetosphere
T3A12,1,How might fog and light rain affect radio range on the 10 meter and 6 meter bands?,Fog and rain absorb these wavelength bands,Fog and light rain will have little effect on these bands,Fog and rain will deflect these signals,Fog and rain will increase radio range
T3A13,2,What weather condition would decrease range at microwave frequencies?,High winds,Low barometric pressure,Precipitation,Colder temperatures
T3B01,2,What is the name for the distance a radio wave travels during one complete cycle?,Wave speed,Waveform,Wavelength,Wave spread
T3B02,0,What property of a radio wave is used to describe its polarization?,The orientation of the electric field,The orientation of the magnetic field,The ratio of the energy in the magnetic field to the energy in the electric field,The ratio of the velocity to the wavelength
T3B03,2,What are the two components of a radio wave?,AC and DC,Voltage and current,Electric and magnetic fields,Ionizing and non-ionizing radiation
T3B04,0,How fast does a radio wave travel through free space?,At the speed of light,At the speed of sound,Its speed is inversely proportional to its wavelength,Its speed increases as the frequency increases
T3B05,1,How does the wavelength of a radio wave relate to its frequency?,The wavelength gets longer as the frequency increases,The wavelength gets shorter as the frequency increases,There is no relationship between wavelength and frequency,The wavelength depends on the bandwidth of the signal
T3B06,3,What is the formula for converting frequency to approximate wavelength in meters?,Wavelength in meters equals frequency in hertz multiplied by 300,Wavelength in meters equals frequency in hertz divided by 300,Wavelength in meters equals frequency in megahertz divided by 300,Wavelength in meters equals 300 divided by frequency in megahertz
T3B07,0,What property of radio waves is often used to identify the different frequency bands?,The approximate wavelength,The magnetic intensity of waves,The time it takes for waves to travel one mile,The voltage standing wave ratio of waves
T3B08,1,What are the frequency limits of the VHF spectrum?,30 to 300 kHz,30 to 300 MHz,300 to 3000 kHz,300 to 3000 MHz
T3B09,3,What are the frequency limits of the UHF spectrum?,30 to 300 kHz,30 to 300 MHz,300 to 3000 kHz,300 to 3000 MHz
T3B10,2,What frequency range is referred to as HF?,300 to 3000 MHz,30 to 300 MHz,3 to 30 MHz,300 to 3000 kHz
T3B11,1,What is the approximate velocity of a radio wave as it travels through free space?,"150,000 kilometers per second","300,000,000 meters per second","300,000,000 miles per hour","150,000 miles per hour"
T3C01,2,Why are direct (not via a repeater) UHF signals rarely heard from stations outside your local coverage area?,They are too weak to go very far,FCC regulations prohibit them from going more than 50 miles,UHF signals are usually not reflected by the ionosphere,UHF signals are absorbed by the ionospheric D layer
T3C02,2,Which of the following is an advantage of HF vs VHF and higher frequencies?,HF antennas are generally smaller,HF accommodates wider bandwidth signals,Long distance ionospheric propagation is far more common on HF,There is less atmospheric interference (static) on HF
T3C03,1,What is a characteristic of VHF signals received via auroral reflection?,"Signals from distances of 10,000 or more miles are common",The signals exhibit rapid fluctuations of strength and often sound distorted,These types of signals occur only during winter nighttime hours,These types of signals are generally strongest when your antenna is aimed west
T3C04,1,"Which of the following propagation types is most commonly associated with occasional strong over-the-horizon signals on the 10, 6, and 2 meter bands?",Backscatter,Sporadic E,D layer absorption,Gray-line propagation
T3C05,0,Which of the following effects might cause radio signals to be heard despite obstructions between the transmitting and receiving stations?,Knife-edge diffraction,Faraday rotation,Quantum tunneling,Doppler shift
T3C06,0,What mode is responsible for allowing over-the-horizon VHF and UHF communications to ranges of approximately 300 miles on a regular basis?,Tropospheric ducting,D layer refraction,F2 layer refraction,Faraday rotation
T3C07,1,What band is best suited for communicating via meteor scatter?,10 meter band,6 meter band,2 meter band,70 centimeter band
T3C08,3,What causes tropospheric ducting?,Discharges of lightning during electrical storms,Sunspots and solar flares,Updrafts from hurricanes and tornadoes,Temperature inversions in the atmosphere
T3C09,0,What is generally the best time for long-distance 10 meter band propagation via the F layer?,From dawn to shortly after sunset during periods of high sunspot activity,From shortly after sunset to dawn during periods of high sunspot activity,From dawn to shortly after sunset during periods of low sunspot activity,From shortly after sunset to dawn during periods of low sunspot activity
T3C10,0,Which of the following bands may provide long distance communications during the peak of the sunspot cycle?,6 or 10 meter bands,23 centimeter band,70 centimeter or 1.25 meter bands,All of these choices are correct
T3C11,2,Why do VHF and UHF radio signals usually travel somewhat farther than the visual line of sight distance between two stations?,Radio signals move somewhat faster than the speed of light,Radio waves are not blocked by dust particles,The Earth seems less curved to radio waves than to light,Radio waves are blocked by dust particles
T4A01,3,What must be considered to determine the minimum current capacity needed for a transceiver power supply?,Efficiency of the transmitter at full power output,Receiver and control circuit power,Power supply regulation and heat dissipation,All of these choices are correct
T4A02,3,How might a computer be used as part of an amateur radio station?,For logging contacts and contact information,For sending and/or receiving CW,For generating and decoding digital signals,All of these choices are correct
T4A03,0,Why should wiring between the power source and radio be heavy-gauge wire and kept as short as possible?,To avoid voltage falling below that needed for proper operation,To provide a good counterpoise for the antenna,To avoid RF interference,All of these choices are correct
T4A04,2,Which computer sound card port is connected to a transceiver’s headphone or speaker output for operating digital modes?,Headphone output,Mute,Microphone or line input,PCI or SDI
T4A05,0,What is the proper location for an external SWR meter?,"In series with the feed line, between the transmitter and antenna",In series with the station's ground,In parallel with the push-to-talk line and the antenna,"In series with the power supply cable, as close as possible to the radio"
T4A06,2,Which of the following connections might be used between a voice transceiver and a computer for digital operation?,"Receive and transmit mode, status, and location",Antenna and RF power,"Receive audio, transmit audio, and push-to-talk (PTT)",NMEA GPS location and DC power
T4A07,2,How is a computer’s sound card used when conducting digital communications?,The sound card communicates between the computer CPU and the video display,The sound card records the audio frequency for video display,The sound card provides audio to the radio's microphone input and converts received audio to digital form,All of these choices are correct
T4A08,3,Which of the following conductors provides the lowest impedance to RF signals?,Round stranded wire,Round copper-clad steel wire,Twisted-pair cable,Flat strap
T4A09,3,Which of the following could you use to cure distorted audio caused by RF current on the shield of a microphone cable?,Band-pass filter,Low-pass filter,Preamplifier,Ferrite choke
T4A10,1,What is the source of a high-pitched whine that varies with engine speed in a mobile transceiver’s receive audio?,The ignition system,The alternator,The electric fuel pump,Anti-lock braking system controllers
T4A11,0,Where should the negative return connection of a mobile transceiver's power cable be connected?,At the battery or engine block ground strap,At the antenna mount,To any metal part of the vehicle,Through the transceiver’s mounting bracket
