id,correct,question,a,b,c,d
E1A12,2,What special operating frequency restrictions are imposed on slow scan TV transmissions?,None; they are allowed on all amateur frequencies,"They are restricted to 7.245 MHz, 14.245 MHz, 21.345 MHz, and 28.945 MHz",They are restricted to phone band segments,They are not permitted above 54 MHz
E1A13,1,Who must be in physical control of the station apparatus of an amateur station aboard any vessel or craft that is documented or registered in the United States?,Only a person with an FCC Marine Radio license grant,Any person holding an FCC issued amateur license or who is authorized for alien reciprocal operation,Only a person named in an amateur station license grant,Any person named in an amateur station license grant or a person holding an unrestricted Radiotelephone Operator Permit
E1A14,3,"Except in some parts of Alaska, what is the maximum power permitted on the 630 meter band?",50 watts PEP,100 watts PEP,1 watt EIRP,5 watts EIRP
E1B01,3,Which of the following constitutes a spurious emission?,An amateur station transmission made without the proper call sign identification,A signal transmitted to prevent its detection by any station other than the intended recipient,Any transmitted signal that unintentionally interferes with another licensed radio station,An emission outside the signal's necessary bandwidth that can be reduced or eliminated without affecting the information transmitted
E1B02,0,Which of the following is an acceptable bandwidth for Digital Radio Mondiale (DRM) based voice or SSTV digital transmissions made on the HF amateur bands?,3 kHz,10 kHz,15 kHz,20 kHz
E1B03,0,Within what distance must an amateur station protect an FCC monitoring facility from harmful interference?,1 mile,3 miles,10 miles,30 miles
E1B04,2,"What must be done before placing an amateur station within an officially designated wilderness area or wildlife preserve, or an area listed in the National Register of Historic Places?",A proposal must be submitted to the National Park Service,A letter of intent must be filed with the Environmental Protection Agency,An Environmental Assessment must be submitted to the FCC,A form FSD-15 must be submitted to the Department of the Interior
E1B05,2,What is the National Radio Quiet Zone?,An area in Puerto Rico surrounding the Arecibo Radio Telescope,An area in New Mexico surrounding the White Sands Test Area,An area surrounding the National Radio Astronomy Observatory,An area in Florida surrounding Cape Canaveral
E1B06,0,Which of the following additional rules apply if you are installing an amateur station antenna at a site at or near a public use airport?,You may have to notify the Federal Aviation Administration and register it with the FCC as required by Part 17 of the FCC rules,You must submit engineering drawings to the FAA,You must file an Environmental Impact Statement with the EPA before construction begins,You must obtain a construction permit from the airport zoning authority
E1B07,2,To what type of regulations does PRB-1 apply?,Homeowners associations,FAA tower height limits,State and local zoning,Use of wireless devices in vehicles
E1B08,3,"What limitations may the FCC place on an amateur station if its signal causes interference to domestic broadcast reception, assuming that the receivers involved are of good engineering design?",The amateur station must cease operation,The amateur station must cease operation on all frequencies below 30 MHz,The amateur station must cease operation on all frequencies above 30 MHz,The amateur station must avoid transmitting during certain hours on frequencies that cause the interference
E1B09,2,Which amateur stations may be operated under RACES rules?,Only those club stations licensed to Amateur Extra Class operators,Any FCC-licensed amateur station except a Technician Class,Any FCC-licensed amateur station certified by the responsible civil defense organization for the area served,Any FCC-licensed amateur station participating in the Military Auxiliary Radio System (MARS)
E1B10,0,What frequencies are authorized to an amateur station operating under RACES rules?,All amateur service frequencies authorized to the control operator,"Specific segments in the amateur service MF, HF, VHF and UHF bands",Specific local government channels,Military Auxiliary Radio System (MARS) channels
E1B11,1,What does PRB-1 require of regulations affecting amateur radio?,No limitations may be placed on antenna size or placement,Reasonable accommodations of amateur radio must be made,Amateur radio operations must be permitted in any private residence,Use of wireless devices in a vehicle is exempt from regulation
E1B12,0,What must the control operator of a repeater operating in the 70 cm band do if a radiolocation system experiences interference from that repeater?,Cease operation or make changes to the repeater to mitigate the interference,"File an FAA NOTAM (Notice to Airmen) with the repeater system's ERP, call sign, and six-character grid locator",Reduce the repeater antenna HAAT (Height Above Average Terrain),All these choices are correct
E1C01,3,What is the maximum bandwidth for a data emission on 60 meters?,60 Hz,170 Hz,1.5 kHz,2.8 kHz
E1C02,2,Which of the following types of communications may be transmitted to amateur stations in foreign countries?,Business-related messages for non-profit organizations,Messages intended for users of the maritime satellite service,Communications incidental to the purpose of the amateur service and remarks of a personal nature,All these choices are correct
E1C03,1,How do the control operator responsibilities of a station under automatic control differ from one under local control?,Under local control there is no control operator,Under automatic control the control operator is not required to be present at the control point,Under automatic control there is no control operator,Under local control a control operator is not required to be present at a control point
E1C04,0,What is meant by IARP?,An international amateur radio permit that allows U.S. amateurs to operate in certain countries of the Americas,The internal amateur radio practices policy of the FCC,An indication of increased antenna reflected power,A forecast of intermittent aurora radio propagation
E1C05,0,When may an automatically controlled station originate third party communications?,Never,Only when transmitting RTTY or data emissions,When agreed upon by the sending or receiving station,When approved by the National Telecommunication and Information Administration
E1C06,2,Which of the following is required in order to operate in accordance with CEPT rules in foreign countries where permitted?,You must identify in the official language of the country in which you are operating,The U.S. embassy must approve of your operation,You must bring a copy of FCC Public Notice DA 16-1048,"You must append ""/CEPT"" to your call sign"
E1C07,3,At what level below a signal's mean power level is its bandwidth determined according to FCC rules?,3 dB,6 dB,23 dB,26 dB
E1C08,1,What is the maximum permissible duration of a remotely controlled station's transmissions if its control link malfunctions?,30 seconds,3 minutes,5 minutes,10 minutes
E1C09,1,What is the highest modulation index permitted at the highest modulation frequency for angle modulation below 29.0 MHz?,0.5,1.0,2.0,3.0
E1C10,0,"What is the permitted mean power of any spurious emission relative to the mean power of the fundamental emission from a station transmitter or external RF amplifier installed after January 1, 2003 and transmitting on a frequency below 30 MHz?",At least 43 dB below,At least 53 dB below,At least 63 dB below,At least 73 dB below
E1C11,0,"Which of the following operating arrangements allows an FCC-licensed U.S. citizen to operate in many European countries, and alien amateurs from many European countries to operate in the U.S.?",CEPT agreement,IARP agreement,ITU reciprocal license,All these choices are correct
E1C12,3,On what portion of the 630 meter band are phone emissions permitted?,None,Only the top 3 kHz,Only the bottom 3 kHz,The entire band
E1C13,2,What notifications must be given before transmitting on the 630 meter or 2200 meter bands?,A special endorsement must be requested from the FCC,An environmental impact statement must be filed with the Department of the Interior,Operators must inform the Utilities Telecom Council of their call sign and coordinates of the station,"Operators must inform the FAA of their intent to operate, giving their call sign and distance to the nearest runway"
E1C14,1,How long must an operator wait after filing a notification with the Utilities Telecom Commission before operating on the 2200 meter or 630 meter band?,Operators must not operate until approval is received,"Operators may operate after 30 days, providing they have not been told that their station is within 1 km of PLC systems using those frequencies",Operators may not operate until a test signal has been transmitted in coordination with the local power company,"Operations may commence immediately, and may continue unless interference is reported by the UTC"
E1D01,0,What is the definition of telemetry?,One-way transmission of measurements at a distance from the measuring instrument,Two-way transmissions in excess of 1000 feet,Two-way transmissions of data,"One-way transmission that initiates, modifies, or terminates the functions of a device at a distance"
E1D02,0,Which of the following may transmit special codes intended to obscure the meaning of messages?,Telecommand signals from a space telecommand station,Data containing personal information,Auxiliary relay links carrying repeater audio,Binary control characters
E1D03,1,What is a space telecommand station?,An amateur station located on the surface of the Earth for communication with other Earth stations by means of Earth satellites,"An amateur station that transmits communications to initiate, modify or terminate functions of a space station",An amateur station located in a satellite or a balloon more than 50 kilometers above the surface of the earth,An amateur station that receives telemetry from a satellite or balloon more than 50 kilometers above the surface of the earth
E1D04,0,Which of the following is required in the identification transmissions from a balloon-borne telemetry station?,Call sign,The output power of the balloon transmitter,The station's six-character Maidenhead grid locator,All these choices are correct
E1D05,3,What must be posted at the station location of a station being operated by telecommand on or within 50 km of the earth's surface?,A photocopy of the station license,"A label with the name, address, and telephone number of the station licensee","A label with the name, address, and telephone number of the control operator",All these choices are correct
E1D06,0,What is the maximum permitted transmitter output power when operating a model craft by telecommand?,1 watt,2 watts,5 watts,100 watts
E1D07,0,Which HF amateur bands have frequencies authorized for space stations?,"Only the 40, 20, 17, 15, 12, and 10 meter bands","Only the 40, 20, 17, 15, and 10 meter bands","Only the 40, 30, 20, 15, 12, and 10 meter bands",All HF bands
E1D08,3,Which VHF amateur bands have frequencies authorized for space stations?,6 meters and 2 meters,"6 meters, 2 meters, and 1.25 meters",2 meters and 1.25 meters,2 meters
E1D09,1,Which UHF amateur bands have frequencies authorized for space stations?,70 cm only,70 cm and 13 cm,70 cm and 33 cm,33 cm and 13 cm
E1D10,1,Which amateur stations are eligible to be telecommand stations of space stations (subject to the privileges of the class of operator license held by the control operator of the station)?,Any amateur station designated by NASA,Any amateur station so designated by the space station licensee,Any amateur station so designated by the ITU,All these choices are correct
E1D11,3,Which amateur stations are eligible to operate as Earth stations?,Any amateur station whose licensee has filed a pre-space notification with the FCC's International Bureau,"Only those of General, Advanced or Amateur Extra Class operators",Only those of Amateur Extra Class operators,"Any amateur station, subject to the privileges of the class of operator license held by the control operator"
E1D12,0,Which of the following amateur stations may transmit one-way communications?,"A space station, beacon station, or telecommand station",A local repeater or linked repeater station,A message forwarding station or automatically controlled digital station,All these choices are correct
E1E01,0,For which types of out-of-pocket expenses do the Part 97 rules state that VEs and VECs may be reimbursed?,"Preparing, processing, administering, and coordinating an examination for an amateur radio operator license",Teaching an amateur operator license examination preparation course,No expenses are authorized for reimbursement,Providing amateur operator license examination preparation training materials
E1E02,2,Who does Part 97 task with maintaining the pools of questions for all U.S. amateur license examinations?,The VEs,The FCC,The VECs,The ARRL
E1E03,2,What is a Volunteer Examiner Coordinator?,A person who has volunteered to administer amateur operator license examinations,A person who has volunteered to prepare amateur operator license examinations,"An organization that has entered into an agreement with the FCC to coordinate, prepare, and administer amateur operator license examinations",The person who has entered into an agreement with the FCC to be the VE session manager
E1E04,3,Which of the following best describes the Volunteer Examiner accreditation process?,"Each General, Advanced and Amateur Extra Class operator is automatically accredited as a VE when the license is granted",The amateur operator applying must pass a VE examination administered by the FCC Enforcement Bureau,The prospective VE obtains accreditation from the FCC,The procedure by which a VEC confirms that the VE applicant meets FCC requirements to serve as an examiner
E1E05,1,What is the minimum passing score on all amateur operator license examinations?,Minimum passing score of 70%,Minimum passing score of 74%,Minimum passing score of 80%,Minimum passing score of 77%
E1E06,2,Who is responsible for the proper conduct and necessary supervision during an amateur operator license examination session?,The VEC coordinating the session,The FCC,Each administering VE,The VE session manager
E1E07,1,What should a VE do if a candidate fails to comply with the examiner's instructions during an amateur operator license examination?,Warn the candidate that continued failure to comply will result in termination of the examination,Immediately terminate the candidate's examination,"Allow the candidate to complete the examination, but invalidate the results",Immediately terminate everyone's examination and close the session
E1E08,2,To which of the following examinees may a VE not administer an examination?,Employees of the VE,Friends of the VE,Relatives of the VE as listed in the FCC rules,All these choices are correct
E1E09,0,What may be the penalty for a VE who fraudulently administers or certifies an examination?,Revocation of the VE's amateur station license grant and the suspension of the VE's amateur operator license grant,A fine of up to $1000 per occurrence,A sentence of up to one year in prison,All these choices are correct
E1E10,2,What must the administering VEs do after the administration of a successful examination for an amateur operator license?,They must collect and send the documents to the NCVEC for grading,They must collect and submit the documents to the coordinating VEC for grading,They must submit the application document to the coordinating VEC according to the coordinating VEC instructions,They must collect and send the documents to the FCC according to instructions
E1E11,1,What must the VE team do if an examinee scores a passing grade on all examination elements needed for an upgrade or new license?,Photocopy all examination documents and forward them to the FCC for processing,Three VEs must certify that the examinee is qualified for the license grant and that they have complied with the administering VE requirements,Issue the examinee the new or upgrade license,All these choices are correct
E1E12,0,What must the VE team do with the application form if the examinee does not pass the exam?,Return the application document to the examinee,Maintain the application form with the VEC's records,Send the application form to the FCC and inform the FCC of the grade,Destroy the application form
E1F01,1,On what frequencies are spread spectrum transmissions permitted?,Only on amateur frequencies above 50 MHz,Only on amateur frequencies above 222 MHz,Only on amateur frequencies above 420 MHz,Only on amateur frequencies above 144 MHz
E1F02,2,What privileges are authorized in the U.S. to persons holding an amateur service license granted by the government of Canada?,"None, they must obtain a U.S. license",All privileges of the Amateur Extra Class license,"The operating terms and conditions of the Canadian amateur service license, not to exceed U.S. Amateur Extra Class license privileges","Full privileges, up to and including those of the Amateur Extra Class license, on the 80, 40, 20, 15, and 10 meter bands"
E1F03,0,Under what circumstances may a dealer sell an external RF power amplifier capable of operation below 144 MHz if it has not been granted FCC certification?,It was purchased in used condition from an amateur operator and is sold to another amateur operator for use at that operator's station,The equipment dealer assembled it from a kit,It was imported from a manufacturer in a country that does not require certification of RF power amplifiers,It was imported from a manufacturer in another country and was certificated by that country's government
E1F04,0,"Which of the following geographic descriptions approximately describes ""Line A""?",A line roughly parallel to and south of the border between the U.S. and Canada,A line roughly parallel to and west of the U.S. Atlantic coastline,A line roughly parallel to and north of the border between the U.S. and Mexico,A line roughly parallel to and east of the U.S. Pacific coastline
E1F05,3,Amateur stations may not transmit in which of the following frequency segments if they are located in the contiguous 48 states and north of Line A?,440 MHz - 450 MHz,53 MHz - 54 MHz,222 MHz - 223 MHz,420 MHz - 430 MHz
E1F06,0,Under what circumstances might the FCC issue a Special Temporary Authority (STA) to an amateur station?,To provide for experimental amateur communications,To allow regular operation on Land Mobile channels,To provide additional spectrum for personal use,To provide temporary operation while awaiting normal licensing
E1F07,3,When may an amateur station send a message to a business?,When the total money involved does not exceed $25,When the control operator is employed by the FCC or another government agency,When transmitting international third-party communications,When neither the amateur nor his or her employer has a pecuniary interest in the communications
E1F08,0,Which of the following types of amateur station communications are prohibited?,"Communications transmitted for hire or material compensation, except as otherwise provided in the rules","Communications that have political content, except as allowed by the Fairness Doctrine",Communications that have religious content,Communications in a language other than English
E1F09,3,Which of the following conditions apply when transmitting spread spectrum emissions?,A station transmitting SS emission must not cause harmful interference to other stations employing other authorized emissions,The transmitting station must be in an area regulated by the FCC or in a country that permits SS emissions,The transmission must not be used to obscure the meaning of any communication,All these choices are correct
E1F10,1,Who may be the control operator of an auxiliary station?,Any licensed amateur operator,"Only Technician, General, Advanced or Amateur Extra Class operators","Only General, Advanced or Amateur Extra Class operators",Only Amateur Extra Class operators
E1F11,3,Which of the following best describes one of the standards that must be met by an external RF power amplifier if it is to qualify for a grant of FCC certification?,It must produce full legal output when driven by not more than 5 watts of mean RF input power,It must be capable of external RF switching between its input and output networks,It must exhibit a gain of 0 dB or less over its full output range,It must satisfy the FCC's spurious emission standards when operated at the lesser of 1500 watts or its full output power
E2A01,2,What is the direction of an ascending pass for an amateur satellite?,From west to east,From east to west,From south to north,From north to south
E2A02,3,Which of the following occurs when a satellite is using an inverted linear transponder?,Doppler shift is reduced because the uplink and downlink shifts are in opposite directions,Signal position in the band is reversed,"Upper sideband on the uplink becomes lower sideband on the downlink, and vice versa",All these choices are correct
E2A03,3,How is the signal inverted by an inverting linear transponder?,The signal is detected and remodulated on the reverse sideband,The signal is passed through a non-linear filter,The signal is reduced to I and Q components and the Q component is filtered out,The signal is passed through a mixer and the difference rather than the sum is transmitted
E2A04,1,What is meant by the term mode? as applied to an amateur radio satellite?,Whether the satellite is in a low earth or geostationary orbit,The satellite's uplink and downlink frequency bands,The satellite's orientation with respect to the Earth,Whether the satellite is in a polar or equatorial orbit
E2A05,3,What do the letters in a satellite's mode designator specify?,Power limits for uplink and downlink transmissions,The location of the ground control station,The polarization of uplink and downlink signals,The uplink and downlink frequency ranges
E2A06,0,What are Keplerian elements?,Parameters that define the orbit of a satellite,Phase reversing elements in a Yagi antenna,High-emission heater filaments used in magnetron tubes,Encrypting codes used for spread spectrum modulation
E2A07,3,Which of the following types of signals can be relayed through a linear transponder?,FM and CW,SSB and SSTV,PSK and packet,All these choices are correct
E2A08,1,Why should effective radiated power to a satellite that uses a linear transponder be limited?,To prevent creating errors in the satellite telemetry,To avoid reducing the downlink power to all other users,To prevent the satellite from emitting out-of-band signals,To avoid interfering with terrestrial QSOs
E2A09,0,What do the terms L band and S band specify regarding satellite communications?,The 23 centimeter and 13 centimeter bands,The 2 meter and 70 centimeter bands,FM and Digital Store-and-Forward systems,Which sideband to use
E2A10,1,What type of satellite appears to stay in one position in the sky?,HEO,Geostationary,Geomagnetic,LEO
E2A11,1,What type of antenna can be used to minimize the effects of spin modulation and Faraday rotation?,A linearly polarized antenna,A circularly polarized antenna,An isotropic antenna,A log-periodic dipole array
E2A12,2,What is the purpose of digital store-and-forward functions on an amateur radio satellite?,To upload operational software for the transponder,To delay download of telemetry between satellites,To store digital messages in the satellite for later download by other stations,To relay messages between satellites
E2A13,1,Which of the following techniques is normally used by low Earth orbiting digital satellites to relay messages around the world?,Digipeating,Store-and-forward,Multi-satellite relaying,Node hopping
E2B01,0,How many times per second is a new frame transmitted in a fast-scan (NTSC) television system?,30,60,90,120
E2B02,2,How many horizontal lines make up a fast-scan (NTSC) television frame?,30,60,525,1080
E2B03,3,How is an interlaced scanning pattern generated in a fast-scan (NTSC) television system?,By scanning two fields simultaneously,By scanning each field from bottom to top,By scanning lines from left to right in one field and right to left in the next,By scanning odd numbered lines in one field and even numbered lines in the next
E2B04,0,How is color information sent in analog SSTV?,Color lines are sent sequentially,Color information is sent on a 2.8 kHz subcarrier,Color is sent in a color burst at the end of each line,Color is amplitude modulated on the frequency modulated intensity signal
E2B05,2,Which of the following describes the use of vestigial sideband in analog fast-scan TV transmissions?,The vestigial sideband carries the audio information,The vestigial sideband contains chroma information,Vestigial sideband reduces bandwidth while allowing for simple video detector circuitry,Vestigial sideband provides high frequency emphasis to sharpen the picture
E2B06,0,What is vestigial sideband modulation?,Amplitude modulation in which one complete sideband and a portion of the other are transmitted,A type of modulation in which one sideband is inverted,Narrow-band FM modulation achieved by filtering one sideband from the audio before frequency modulating the carrier,Spread spectrum modulation achieved by applying FM modulation following single sideband amplitude modulation
E2B07,1,What is the name of the signal component that carries color information in NTSC video?,Luminance,Chroma,Hue,Spectral intensity
E2B08,0,What technique allows commercial analog TV receivers to be used for fast-scan TV operations on the 70 cm band?,Transmitting on channels shared with cable TV,Using converted satellite TV dishes,Transmitting on the abandoned TV channel 2,Using USB and demodulating the signal with a computer sound card
E2B09,3,"What hardware, other than a receiver with SSB capability and a suitable computer, is needed to decode SSTV using Digital Radio Mondiale (DRM)?",A special IF converter,A special front end limiter,A special notch filter to remove synchronization pulses,No other hardware is needed
E2B10,0,What aspect of an analog slow-scan television signal encodes the brightness of the picture?,Tone frequency,Tone amplitude,Sync amplitude,Sync frequency
E2B11,1,What is the function of the Vertical Interval Signaling (VIS) code sent as part of an SSTV transmission?,To lock the color burst oscillator in color SSTV images,To identify the SSTV mode being used,To provide vertical synchronization,To identify the call sign of the station transmitting
E2B12,0,What signals SSTV receiving software to begin a new picture line?,Specific tone frequencies,Elapsed time,Specific tone amplitudes,A two-tone signal
E2C01,3,What indicator is required to be used by U.S.-licensed operators when operating a station via remote control and the remote transmitter is located in the U.S.?,/ followed by the USPS two-letter abbreviation for the state in which the remote station is located,/R# where # is the district of the remote station,/ followed by the ARRL Section of the remote station,No additional indicator is required
E2C02,0,Which of the following best describes the term self-spotting? in connection with HF contest operating?,The often-prohibited practice of posting one's own call sign and frequency on a spotting network,The acceptable practice of manually posting the call signs of stations on a spotting network,A manual technique for rapidly zero beating or tuning to a station's frequency before calling that station,An automatic method for rapidly zero beating or tuning to a station's frequency before calling that station
E2C03,0,From which of the following bands is amateur radio contesting generally excluded?,30 meters,6 meters,2 meters,33 centimeters
E2C04,1,Which of the following frequencies are sometimes used for amateur radio mesh networks?,HF frequencies where digital communications are permitted,Frequencies shared with various unlicensed wireless data services,Cable TV channels 41 through 43,The 60 meter band channel centered on 5373 kHz
E2C05,1,What is the function of a DX QSL Manager?,To allocate frequencies for DXpeditions,To handle the receiving and sending of confirmation cards for a DX station,To run a net to allow many stations to contact a rare DX station,To relay calls to and from a DX station
E2C06,2,"During a VHF/UHF contest, in which band segment would you expect to find the highest level of SSB or CW activity?","At the top of each band, usually in a segment reserved for contests","In the middle of each band, usually on the national calling frequency","In the weak signal segment of the band, with most of the activity near the calling frequency","In the middle of the band, usually 25 kHz above the national calling frequency"
E2C07,0,What is the Cabrillo format?,A standard for submission of electronic contest logs,A method of exchanging information during a contest QSO,The most common set of contest rules,The rules of order for meetings between contest sponsors
E2C08,1,Which of the following contacts may be confirmed through the U.S. QSL bureau system?,Special event contacts between stations in the U.S.,Contacts between a U.S. station and a non-U.S. station,Repeater contacts between U.S. club members,Contacts using tactical call signs
E2C09,2,What type of equipment is commonly used to implement an amateur radio mesh network?,A 2 meter VHF transceiver with a 1200 baud modem,An optical cable connection between the USB ports of 2 separate computers,A wireless router running custom firmware,A 440 MHz transceiver with a 9600 baud modem
E2C10,3,Why might a DX station state that they are listening on another frequency?,Because the DX station may be transmitting on a frequency that is prohibited to some responding stations,To separate the calling stations from the DX station,To improve operating efficiency by reducing interference,All these choices are correct
E2C11,0,How should you generally identify your station when attempting to contact a DX station during a contest or in a pileup?,Send your full call sign once or twice,Send only the last two letters of your call sign until you make contact,Send your full call sign and grid square,"Send the call sign of the DX station three times, the words this is,then your call sign three times"
E2C12,2,What technique do individual nodes use to form a mesh network?,Forward error correction and Viterbi codes,Acting as store-and-forward digipeaters,Discovery and link establishment protocols,Custom code plugs for the local trunking systems
E2D01,1,Which of the following digital modes is designed for meteor scatter communications?,WSPR,MSK144,Hellschreiber,APRS
E2D02,3,Which of the following is a good technique for making meteor scatter contacts?,15-second timed transmission sequences with stations alternating based on location,Use of special digital modes,Short transmissions with rapidly repeated call signs and signal reports,All these choices are correct
E2D03,3,Which of the following digital modes is especially useful for EME communications?,MSK144,PACTOR III,Olivia,JT65
E2D04,2,"What technology is used to track, in real time, balloons carrying amateur radio transmitters?",Ultrasonics,Bandwidth compressed LORAN,APRS,Doppler shift of beacon signals
E2D05,1,What is one advantage of the JT65 mode?,Uses only a 65 Hz bandwidth,The ability to decode signals which have a very low signal-to-noise ratio,Easily copied by ear if necessary,Permits fast-scan TV transmissions over narrow bandwidth
E2D06,0,Which of the following describes a method of establishing EME contacts?,Time synchronous transmissions alternately from each station,Storing and forwarding digital messages,Judging optimum transmission times by monitoring beacons reflected from the moon,High-speed CW identification to avoid fading
E2D07,2,What digital protocol is used by APRS?,PACTOR,802.11,AX.25,AMTOR
E2D08,0,What type of packet frame is used to transmit APRS beacon data?,Unnumbered Information,Disconnect,Acknowledgement,Connect
E2D09,0,What type of modulation is used for JT65 contacts?,Multi-tone AFSK,PSK,RTTY,IEEE 802.11
E2D10,2,How can an APRS station be used to help support a public service communications activity?,An APRS station with an emergency medical technician can automatically transmit medical data to the nearest hospital,APRS stations with General Personnel Scanners can automatically relay the participant numbers and time as they pass the check points,An APRS station with a Global Positioning System unit can automatically transmit information to show a mobile station's position during the event,All these choices are correct
E2D11,3,Which of the following data are used by the APRS network to communicate station location?,Polar coordinates,Time and frequency,Radio direction finding spectrum analysis,Latitude and longitude
E2E01,1,Which of the following types of modulation is common for data emissions below 30 MHz?,DTMF tones modulating an FM signal,FSK,Pulse modulation,Spread spectrum
E2E02,0,What do the letters FEC mean as they relate to digital operation?,Forward Error Correction,First Error Correction,Fatal Error Correction,Final Error Correction
E2E03,2,How is the timing of FT4 contacts organized?,By exchanging ACK/NAK packets,Stations take turns on alternate days,Alternating transmissions at 7.5 second intervals,It depends on the lunar phase
E2E04,0,What is indicated when one of the ellipses in an FSK crossed-ellipse display suddenly disappears?,Selective fading has occurred,One of the signal filters is saturated,The receiver has drifted 5 kHz from the desired receive frequency,The mark and space signal have been inverted
E2E05,0,Which of these digital modes does not support keyboard-to-keyboard operation?,PACTOR,RTTY,PSK31,MFSK
E2E06,2,What is the most common data rate used for HF packet?,48 baud,110 baud,300 baud,1200 baud
E2E07,3,Which of the following is a possible reason that attempts to initiate contact with a digital station on a clear frequency are unsuccessful?,Your transmit frequency is incorrect,The protocol version you are using is not supported by the digital station,Another station you are unable to hear is using the frequency,All these choices are correct
E2E08,1,Which of the following HF digital modes can be used to transfer binary files?,Hellschreiber,PACTOR,RTTY,AMTOR
E2E09,3,Which of the following HF digital modes uses variable-length coding for bandwidth efficiency?,RTTY,PACTOR,MT63,PSK31
E2E10,2,Which of these digital modes has the narrowest bandwidth?,MFSK16,"170 Hz shift, 45-baud RTTY",PSK31,300-baud packet
E2E11,0,What is the difference between direct FSK and audio FSK?,"Direct FSK applies the data signal to the transmitter VFO, while AFSK transmits tones via phone",Direct FSK occupies less bandwidth,Direct FSK can transmit faster baud rates,Only direct FSK can be decoded by computer
E2E12,0,How do ALE stations establish contact?,"ALE constantly scans a list of frequencies, activating the radio when the designated call sign is received",ALE radios monitor an internet site for the frequency they are being paged on,ALE radios send a constant tone code to establish a frequency for future use,ALE radios activate when they hear their signal echoed by back scatter
E2E13,3,Which of these digital modes has the fastest data throughput under clear communication conditions?,AMTOR,"170 Hz shift, 45 baud RTTY",PSK31,300 baud packet
E3A01,3,What is the approximate maximum separation measured along the surface of the Earth between two stations communicating by EME?,"500 miles, if the moon is at perigee","2000 miles, if the moon is at apogee","5000 miles, if the moon is at perigee","12,000 miles, if the moon is visible by both stations"
E3A02,1,What characterizes libration fading of an EME signal?,A slow change in the pitch of the CW signal,A fluttery irregular fading,A gradual loss of signal as the sun rises,The returning echo is several hertz lower in frequency than the transmitted signal
E3A03,0,"When scheduling EME contacts, which of these conditions will generally result in the least path loss?",When the moon is at perigee,When the moon is full,When the moon is at apogee,When the MUF is above 30 MHz
E3A04,3,What do Hepburn maps predict?,Sporadic E propagation,Locations of auroral reflecting zones,Likelihood of rain scatter along cold or warm fronts,Probability of tropospheric propagation
E3A05,2,Tropospheric propagation of microwave signals often occurs in association with what phenomenon?,Grayline,Lightning discharges,Warm and cold fronts,Sprites and jets
