id,correct,question,a,b,c,d
T1C07,1,Which of the following can result in revocation of the station license or suspension of the operator license?,Failure to inform the FCC of any changes in the amateur station following performance of an RF safety environmental evaluation,Failure to provide and maintain a correct email address with the FCC,Failure to obtain FCC type acceptance prior to using a home-built transmitter,Failure to have a copy of your license available at your station
T1C08,2,What is the normal term for an FCC-issued amateur radio license?,Five years,Life,Ten years,Eight years
T1C09,0,What is the grace period for renewal if an amateur license expires?,Two years,Three years,Five years,Ten years
T1C10,2,How soon after passing the examination for your first amateur radio license may you transmit on the amateur radio bands?,Immediately on receiving your Certificate of Successful Completion of Examination (CSCE),As soon as your operator/station license grant appears on the ARRL website,As soon as your operator/station license grant appears in the FCC’s license database,As soon as you receive your license in the mail from the FCC
T1C11,3,"If your license has expired and is still within the allowable grace period, may you continue to transmit on the amateur radio bands?","Yes, for up to two years","Yes, as soon as you apply for renewal","Yes, for up to one year","No, you must wait until the license has been renewed"
T1D01,0,With which countries are FCC-licensed amateur radio stations prohibited from exchanging communications?,Any country whose administration has notified the International Telecommunication Union (ITU) that it objects to such communications,Any country whose administration has notified the American Radio Relay League (ARRL) that it objects to such communications,Any country banned from such communications by the International Amateur Radio Union (IARU),Any country banned from making such communications by the American Radio Relay League (ARRL)
T1D02,1,Under which of the following circumstances are one-way transmissions by an amateur station prohibited?,In all circumstances,Broadcasting,International Morse Code Practice,Telecommand or transmissions of telemetry
T1D03,2,When is it permissible to transmit messages encoded to obscure their meaning?,Only during contests,Only when transmitting certain approved digital codes,Only when transmitting control commands to space stations or radio control craft,Never
T1D04,0,Under what conditions is an amateur station authorized to transmit music using a phone emission?,When incidental to an authorized retransmission of manned spacecraft communications,When the music produces no spurious emissions,When transmissions are limited to less than three minutes per hour,When the music is transmitted above 1280 MHz
T1D05,3,When may amateur radio operators use their stations to notify other amateurs of the availability of equipment for sale or trade?,Never,"When the equipment is not the personal property of either the station licensee, or the control operator, or their close relatives",When no profit is made on the sale,When selling amateur radio equipment and not on a regular basis
T1D06,1,"What, if any, are the restrictions concerning transmission of language that may be considered indecent or obscene?",The FCC maintains a list of words that are not permitted to be used on amateur frequencies,Any such language is prohibited,The ITU maintains a list of words that are not permitted to be used on amateur frequencies,There is no such prohibition
T1D07,3,What types of amateur stations can automatically retransmit the signals of other amateur stations?,"Auxiliary, beacon, or Earth stations","Earth, repeater, or space stations","Beacon, repeater, or space stations","Repeater, auxiliary, or space stations"
T1D08,1,In which of the following circumstances may the control operator of an amateur station receive compensation for operating that station?,When the communication is related to the sale of amateur equipment by the control operator's employer,When the communication is incidental to classroom instruction at an educational institution,When the communication is made to obtain emergency information for a local broadcast station,All these choices are correct
T1D09,0,"When may amateur stations transmit information in support of broadcasting, program production, or news gathering, assuming no other means is available?",When such communications are directly related to the immediate safety of human life or protection of property,When broadcasting communications to or from the space shuttle,Where noncommercial programming is gathered and supplied exclusively to the National Public Radio network,Never
T1D10,3,How does the FCC define broadcasting for the Amateur Radio Service?,Two-way transmissions by amateur stations,Any transmission made by the licensed station,Transmission of messages directed only to amateur operators,Transmissions intended for reception by the general public
T1D11,3,When may an amateur station transmit without identifying on the air?,When the transmissions are of a brief nature to make station adjustments,When the transmissions are unmodulated,When the transmitted power level is below 1 watt,When transmitting signals to control model craft
T1E01,3,When may an amateur station transmit without a control operator?,"When using automatic control, such as in the case of a repeater",When the station licensee is away and another licensed amateur is using the station,When the transmitting station is an auxiliary station,Never
T1E02,3,Who may be the control operator of a station communicating through an amateur satellite or space station?,Only an Amateur Extra Class operator,A General class or higher licensee with a satellite operator certification,Only an Amateur Extra Class operator who is also an AMSAT member,Any amateur allowed to transmit on the satellite uplink frequency
T1E03,0,Who must designate the station control operator?,The station licensee,The FCC,The frequency coordinator,Any licensed operator
T1E04,3,What determines the transmitting frequency privileges of an amateur station?,The frequency authorized by the frequency coordinator,The frequencies printed on the license grant,The highest class of operator license held by anyone on the premises,The class of operator license held by the control operator
T1E05,2,What is an amateur station’s control point?,The location of the station’s transmitting antenna,The location of the station’s transmitting apparatus,The location at which the control operator function is performed,The mailing address of the station licensee
T1E06,0,"When, under normal circumstances, may a Technician class licensee be the control operator of a station operating in an Amateur Extra Class band segment?",At no time,When designated as the control operator by an Amateur Extra Class licensee,As part of a multi-operator contest team,When using a club station whose trustee holds an Amateur Extra Class license
T1E07,3,"When the control operator is not the station licensee, who is responsible for the proper operation of the station?",All licensed amateurs who are present at the operation,Only the station licensee,Only the control operator,The control operator and the station licensee
T1E08,0,Which of the following is an example of automatic control?,Repeater operation,Controlling a station over the internet,Using a computer or other device to send CW automatically,Using a computer or other device to identify automatically
T1E09,3,Which of the following are required for remote control operation?,The control operator must be at the control point,A control operator is required at all times,The control operator must indirectly manipulate the controls,All these choices are correct
T1E10,1,Which of the following is an example of remote control as defined in Part 97?,Repeater operation,Operating the station over the internet,"Controlling a model aircraft, boat, or car by amateur radio",All these choices are correct
T1E11,3,"Who does the FCC presume to be the control operator of an amateur station, unless documentation to the contrary is in the station records?",The station custodian,The third party participant,The person operating the station equipment,The station licensee
T1F01,1,When must the station and its records be available for FCC inspection?,At any time ten days after notification by the FCC of such an inspection,At any time upon request by an FCC representative,At any time after written notification by the FCC of such inspection,Only when presented with a valid warrant by an FCC official or government agent
T1F02,2,How often must you identify with your FCC-assigned call sign when using tactical call signs such as “Race Headquarters”?,"Never, the tactical call is sufficient",Once during every hour,At the end of each communication and every ten minutes during a communication,At the end of every transmission
T1F03,3,When are you required to transmit your assigned call sign?,"At the beginning of each contact, and every 10 minutes thereafter",At least once during each transmission,At least every 15 minutes during and at the end of a communication,At least every 10 minutes during and at the end of a communication
T1F04,2,What language may you use for identification when operating in a phone sub-band?,Any language recognized by the United Nations,Any language recognized by the ITU,English,"English, French, or Spanish"
T1F05,1,What method of call sign identification is required for a station transmitting phone signals?,Send the call sign followed by the indicator RPT,Send the call sign using a CW or phone emission,Send the call sign followed by the indicator R,Send the call sign using only a phone emission
T1F06,3,Which of the following self-assigned indicators are acceptable when using a phone transmission?,KL7CC stroke W3,KL7CC slant W3,KL7CC slash W3,All these choices are correct
T1F07,1,Which of the following restrictions apply when a non-licensed person is allowed to speak to a foreign station using a station under the control of a licensed amateur operator?,The person must be a U.S. citizen,The foreign station must be in a country with which the U.S. has a third party agreement,The licensed control operator must do the station identification,All these choices are correct
T1F08,0,What is the definition of third party communications?,A message from a control operator to another amateur station control operator on behalf of another person,Amateur radio communications where three stations are in communications with one another,Operation when the transmitting equipment is licensed to a person other than the control operator,Temporary authorization for an unlicensed person to transmit on the amateur bands for technical experiments
T1F09,2,What type of amateur station simultaneously retransmits the signal of another amateur station on a different channel or channels?,Beacon station,Earth station,Repeater station,Message forwarding station
T1F10,0,Who is accountable if a repeater inadvertently retransmits communications that violate the FCC rules?,The control operator of the originating station,The control operator of the repeater,The owner of the repeater,Both the originating station and the repeater owner
T1F11,1,Which of the following is a requirement for the issuance of a club station license grant?,The trustee must have an Amateur Extra Class operator license grant,The club must have at least four members,The club must be registered with the American Radio Relay League,All these choices are correct
T2A01,1,What is a common repeater frequency offset in the 2 meter band?,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz
T2A02,0,What is the national calling frequency for FM simplex operations in the 2 meter band?,146.520 MHz,145.000 MHz,432.100 MHz,446.000 MHz
T2A03,0,What is a common repeater frequency offset in the 70 cm band?,Plus or minus 5 MHz,Plus or minus 600 kHz,Plus or minus 500 kHz,Plus or minus 1 MHz
T2A04,1,What is an appropriate way to call another station on a repeater if you know the other station's call sign?,"Say ""break, break,"" then say the station's call sign","Say the station's call sign, then identify with your call sign","Say ""CQ"" three times, then the other station's call sign","Wait for the station to call CQ, then answer"
T2A05,2,How should you respond to a station calling CQ?,"Transmit ""CQ"" followed by the other station’s call sign",Transmit your call sign followed by the other station’s call sign,Transmit the other station’s call sign followed by your call sign,Transmit a signal report followed by your call sign
T2A06,0,Which of the following is required when making on-the-air test transmissions?,Identify the transmitting station,Conduct tests only between 10 p.m. and 6 a.m. local time,Notify the FCC of the transmissions,All these choices are correct
T2A07,0,"What is meant by ""repeater offset”?",The difference between a repeater’s transmit and receive frequencies,The repeater has a time delay to prevent interference,The repeater station identification is done on a separate frequency,The number of simultaneous transmit frequencies used by a repeater
T2A08,3,What is the meaning of the procedural signal “CQ”?,Call on the quarter hour,"Test transmission, no reply expected",Only the called station should transmit,Calling any station
T2A09,1,Which of the following indicates that a station is listening on a repeater and looking for a contact?,“CQ CQ” followed by the repeater’s call sign,The station’s call sign followed by the word “monitoring”,The repeater call sign followed by the station’s call sign,“QSY” followed by your call sign
T2A10,0,"What is a band plan, beyond the privileges established by the FCC?",A voluntary guideline for using different modes or activities within an amateur band,A list of operating schedules,A list of available net frequencies,A plan devised by a club to indicate frequency band usage
T2A11,2,What term describes an amateur station that is transmitting and receiving on the same frequency?,Full duplex,Diplex,Simplex,Multiplex
T2A12,3,What should you do before calling CQ?,Listen first to be sure that no one else is using the frequency,Ask if the frequency is in use,Make sure you are authorized to use that frequency,All these choices are correct
T2B01,2,How is a VHF/UHF transceiver’s “reverse” function used?,To reduce power output,To increase power output,To listen on a repeater’s input frequency,To listen on a repeater’s output frequency
T2B02,3,What term describes the use of a sub-audible tone transmitted along with normal voice audio to open the squelch of a receiver?,Carrier squelch,Tone burst,DTMF,CTCSS
T2B03,0,Which of the following describes a linked repeater network?,A network of repeaters in which signals received by one repeater are transmitted by all the repeaters in the network,A single repeater with more than one receiver,Multiple repeaters with the same control operator,A system of repeaters linked by APRS
T2B04,3,Which of the following could be the reason you are unable to access a repeater whose output you can hear?,Improper transceiver offset,You are using the wrong CTCSS tone,You are using the wrong DCS code,All these choices are correct
T2B05,2,What would cause your FM transmission audio to be distorted on voice peaks?,Your repeater offset is inverted,You need to talk louder,You are talking too loudly,Your transmit power is too high
T2B06,0,What type of signaling uses pairs of audio tones?,DTMF,CTCSS,GPRS,D-STAR
T2B07,2,How can you join a digital repeater’s “talkgroup”?,Register your radio with the local FCC office,Join the repeater owner’s club,Program your radio with the group’s ID or code,Sign your call after the courtesy tone
T2B08,0,Which of the following applies when two stations transmitting on the same frequency interfere with each other?,The stations should negotiate continued use of the frequency,Both stations should choose another frequency to avoid conflict,"Interference is inevitable, so no action is required",Use subaudible tones so both stations can share the frequency
T2B09,0,Why are simplex channels designated in the VHF/UHF band plans?,So stations within range of each other can communicate without tying up a repeater,For contest operation,For working DX only,So stations with simple transmitters can access the repeater without automated offset
T2B10,0,Which Q signal indicates that you are receiving interference from other stations?,QRM,QRN,QTH,QSB
T2B11,1,Which Q signal indicates that you are changing frequency?,QRU,QSY,QSL,QRZ
T2B12,0,What is the purpose of the color code used on DMR repeater systems?,Must match the repeater color code for access,Defines the frequency pair to use,Identifies the codec used,Defines the minimum signal level required for access
T2B13,1,What is the purpose of a squelch function?,Reduce a CW transmitter's key clicks,Mute the receiver audio when a signal is not present,Eliminate parasitic oscillations in an RF amplifier,Reduce interference from impulse noise
T2C01,3,When do FCC rules NOT apply to the operation of an amateur station?,When operating a RACES station,When operating under special FEMA rules,When operating under special ARES rules,FCC rules always apply
T2C02,2,Which of the following are typical duties of a Net Control Station?,Choose the regular net meeting time and frequency,Ensure that all stations checking into the net are properly licensed for operation on the net frequency,Call the net to order and direct communications between stations checking in,All these choices are correct
T2C03,2,What technique is used to ensure that voice messages containing unusual words are received correctly?,Send the words by voice and Morse code,Speak very loudly into the microphone,Spell the words using a standard phonetic alphabet,All these choices are correct
T2C04,3,What is RACES?,An emergency organization combining amateur radio and citizens band operators and frequencies,An international radio experimentation society,"A radio contest held in a short period, sometimes called a “sprint”",An FCC part 97 amateur radio service for civil defense communications during national emergencies
T2C05,0,What does the term “traffic” refer to in net operation?,Messages exchanged by net stations,The number of stations checking in and out of a net,Operation by mobile or portable stations,Requests to activate the net by a served agency
T2C06,0,What is the Amateur Radio Emergency Service (ARES)?,A group of licensed amateurs who have voluntarily registered their qualifications and equipment for communications duty in the public service,A group of licensed amateurs who are members of the military and who voluntarily agreed to provide message handling services in the case of an emergency,A training program that provides licensing courses for those interested in obtaining an amateur license to use during emergencies,A training program that certifies amateur operators for membership in the Radio Amateur Civil Emergency Service
T2C07,2,Which of the following is standard practice when you participate in a net?,"When first responding to the net control station, transmit your call sign, name, and address as in the FCC database",Record the time of each of your transmissions,"Unless you are reporting an emergency, transmit only when directed by the net control station",All these choices are correct
T2C08,0,Which of the following is a characteristic of good traffic handling?,Passing messages exactly as received,Making decisions as to whether messages are worthy of relay or delivery,Ensuring that any newsworthy messages are relayed to the news media,All these choices are correct
T2C09,3,Are amateur station control operators ever permitted to operate outside the frequency privileges of their license class?,No,"Yes, but only when part of a FEMA emergency plan","Yes, but only when part of a RACES emergency plan","Yes, but only in situations involving the immediate safety of human life or protection of property"
T2C10,3,What information is contained in the preamble of a formal traffic message?,The email address of the originating station,The address of the intended recipient,The telephone number of the addressee,Information needed to track the message
T2C11,0,What is meant by “check” in a radiogram header?,The number of words or word equivalents in the text portion of the message,The call sign of the originating station,A list of stations that have relayed the message,A box on the message form that indicates that the message was received and/or relayed
T3A01,2,Why do VHF signal strengths sometimes vary greatly when the antenna is moved only a few feet?,The signal path encounters different concentrations of water vapor,VHF ionospheric propagation is very sensitive to path length,Multipath propagation cancels or reinforces signals,All these choices are correct
T3A02,1,What is the effect of vegetation on UHF and microwave signals?,Knife-edge diffraction,Absorption,Amplification,Polarization rotation
T3A03,2,What antenna polarization is normally used for long-distance CW and SSB contacts on the VHF and UHF bands?,Right-hand circular,Left-hand circular,Horizontal,Vertical
T3A04,1,What happens when antennas at opposite ends of a VHF or UHF line of sight radio link are not using the same polarization?,The modulation sidebands might become inverted,Received signal strength is reduced,Signals have an echo effect,Nothing significant will happen
T3A05,1,"When using a directional antenna, how might your station be able to communicate with a distant repeater if buildings or obstructions are blocking the direct line of sight path?",Change from vertical to horizontal polarization,Try to find a path that reflects signals to the repeater,Try the long path,Increase the antenna SWR
T3A06,1,What is the meaning of the term “picket fencing”?,Alternating transmissions during a net operation,Rapid flutter on mobile signals due to multipath propagation,A type of ground system used with vertical antennas,Local vs long-distance communications
T3A07,2,What weather condition might decrease range at microwave frequencies?,High winds,Low barometric pressure,Precipitation,Colder temperatures
T3A08,3,What is a likely cause of irregular fading of signals propagated by the ionosphere?,Frequency shift due to Faraday rotation,Interference from thunderstorms,Intermodulation distortion,Random combining of signals arriving via different paths
T3A09,1,Which of the following results from the fact that signals propagated by the ionosphere are elliptically polarized?,Digital modes are unusable,Either vertically or horizontally polarized antennas may be used for transmission or reception,FM voice is unusable,Both the transmitting and receiving antennas must be of the same polarization
T3A10,3,What effect does multi-path propagation have on data transmissions?,Transmission rates must be increased by a factor equal to the number of separate paths observed,Transmission rates must be decreased by a factor equal to the number of separate paths observed,No significant changes will occur if the signals are transmitted using FM,Error rates are likely to increase
T3A11,2,Which region of the atmosphere can refract or bend HF and VHF radio waves?,The stratosphere,The troposphere,The ionosphere,The mesosphere
T3A12,1,What is the effect of fog and rain on signals in the 10 meter and 6 meter bands?,Absorption,There is little effect,Deflection,Range increase
T3B01,3,What is the relationship between the electric and magnetic fields of an electromagnetic wave?,They travel at different speeds,They are in parallel,They revolve in opposite directions,They are at right angles
T3B02,0,What property of a radio wave defines its polarization?,The orientation of the electric field,The orientation of the magnetic field,The ratio of the energy in the magnetic field to the energy in the electric field,The ratio of the velocity to the wavelength
T3B03,2,What are the two components of a radio wave?,Impedance and reactance,Voltage and current,Electric and magnetic fields,Ionizing and non-ionizing radiation
T3B04,0,What is the velocity of a radio wave traveling through free space?,Speed of light,Speed of sound,Speed inversely proportional to its wavelength,Speed that increases as the frequency increases
T3B05,1,What is the relationship between wavelength and frequency?,Wavelength gets longer as frequency increases,Wavelength gets shorter as frequency increases,Wavelength and frequency are unrelated,Wavelength and frequency increase as path length increases
T3B06,3,What is the formula for converting frequency to approximate wavelength in meters?,Wavelength in meters equals frequency in hertz multiplied by 300,Wavelength in meters equals frequency in hertz divided by 300,Wavelength in meters equals frequency in megahertz divided by 300,Wavelength in meters equals 300 divided by frequency in megahertz
T3B07,0,"In addition to frequency, which of the following is used to identify amateur radio bands?",The approximate wavelength in meters,Traditional letter/number designators,Channel numbers,All these choices are correct
T3B08,1,What frequency range is referred to as VHF?,30 kHz to 300 kHz,30 MHz to 300 MHz,300 kHz to 3000 kHz,300 MHz to 3000 MHz
T3B09,3,What frequency range is referred to as UHF?,30 to 300 kHz,30 to 300 MHz,300 to 3000 kHz,300 to 3000 MHz
T3B10,2,What frequency range is referred to as HF?,300 to 3000 MHz,30 to 300 MHz,3 to 30 MHz,300 to 3000 kHz
T3B11,1,What is the approximate velocity of a radio wave in free space?,"150,000 meters per second","300,000,000 meters per second","300,000,000 miles per hour","150,000 miles per hour"
T3C01,2,Why are simplex UHF signals rarely heard beyond their radio horizon?,They are too weak to go very far,FCC regulations prohibit them from going more than 50 miles,UHF signals are usually not propagated by the ionosphere,UHF signals are absorbed by the ionospheric D region
T3C02,2,What is a characteristic of HF communication compared with communications on VHF and higher frequencies?,HF antennas are generally smaller,HF accommodates wider bandwidth signals,Long-distance ionospheric propagation is far more common on HF,There is less atmospheric interference (static) on HF
T3C03,1,What is a characteristic of VHF signals received via auroral backscatter?,"They are often received from 10,000 miles or more",They are distorted and signal strength varies considerably,They occur only during winter nighttime hours,They are generally strongest when your antenna is aimed west
T3C04,1,"Which of the following types of propagation is most commonly associated with occasional strong signals on the 10, 6, and 2 meter bands from beyond the radio horizon?",Backscatter,Sporadic E,D region absorption,Gray-line propagation
T3C05,0,Which of the following effects may allow radio signals to travel beyond obstructions between the transmitting and receiving stations?,Knife-edge diffraction,Faraday rotation,Quantum tunneling,Doppler shift
T3C06,0,What type of propagation is responsible for allowing over-the-horizon VHF and UHF communications to ranges of approximately 300 miles on a regular basis?,Tropospheric ducting,D region refraction,F2 region refraction,Faraday rotation
T3C07,1,What band is best suited for communicating via meteor scatter?,33 centimeters,6 meters,2 meters,70 centimeters
T3C08,3,What causes tropospheric ducting?,Discharges of lightning during electrical storms,Sunspots and solar flares,Updrafts from hurricanes and tornadoes,Temperature inversions in the atmosphere
T3C09,0,What is generally the best time for long-distance 10 meter band propagation via the F region?,From dawn to shortly after sunset during periods of high sunspot activity,From shortly after sunset to dawn during periods of high sunspot activity,From dawn to shortly after sunset during periods of low sunspot activity,From shortly after sunset to dawn during periods of low sunspot activity
T3C10,0,Which of the following bands may provide long-distance communications via the ionosphere’s F region during the peak of the sunspot cycle?,6 and 10 meters,23 centimeters,70 centimeters and 1.25 meters,All these choices are correct
T3C11,2,Why is the radio horizon for VHF and UHF signals more distant than the visual horizon?,Radio signals move somewhat faster than the speed of light,Radio waves are not blocked by dust particles,The atmosphere refracts radio waves slightly,Radio waves are blocked by dust particles
T4A01,3,Which of the following is an appropriate power supply rating for a typical 50 watt output mobile FM transceiver?,24.0 volts at 4 amperes,13.8 volts at 4 amperes,24.0 volts at 12 amperes,13.8 volts at 12 amperes
T4A02,0,Which of the following should be considered when selecting an accessory SWR meter?,The frequency and power level at which the measurements will be made,The distance that the meter will be located from the antenna,The types of modulation being used at the station,All these choices are correct
T4A03,0,"Why are short, heavy-gauge wires used for a transceiver’s DC power connection?",To minimize voltage drop when transmitting,To provide a good counterpoise for the antenna,To avoid RF interference,All these choices are correct
T4A04,1,How are the transceiver audio input and output connected in a station configured to operate using FT8?,To a computer running a terminal program and connected to a terminal node controller unit,To the audio input and output of a computer running WSJT-X software,"To an FT8 conversion unit, a keyboard, and a computer monitor",To a computer connected to the FT8converter.com website
T4A05,0,Where should an RF power meter be installed?,"In the feed line, between the transmitter and antenna",At the power supply output,In parallel with the push-to-talk line and the antenna,"In the power supply cable, as close as possible to the radio"
T4A06,2,What signals are used in a computer-radio interface for digital mode operation?,"Receive and transmit mode, status, and location",Antenna and RF power,"Receive audio, transmit audio, and transmitter keying",NMEA GPS location and DC power
T4A07,2,Which of the following connections is made between a computer and a transceiver to use computer software when operating digital modes?,Computer “line out” to transceiver push-to-talk,Computer “line in” to transceiver push-to-talk,Computer “line in” to transceiver speaker connector,Computer “line out” to transceiver speaker connector
T4A08,3,Which of the following conductors is preferred for bonding at RF?,Copper braid removed from coaxial cable,Steel wire,Twisted-pair cable,Flat copper strap
T4A09,1,How can you determine the length of time that equipment can be powered from a battery?,Divide the watt-hour rating of the battery by the peak power consumption of the equipment,Divide the battery ampere-hour rating by the average current draw of the equipment,Multiply the watts per hour consumed by the equipment by the battery power rating,Multiply the square of the current rating of the battery by the input resistance of the equipment
T4A10,0,What function is performed with a transceiver and a digital mode hot spot?,Communication using digital voice or data systems via the internet,FT8 digital communications via AFSK,RTTY encoding and decoding without a computer,High-speed digital communications for meteor scatter
T4A11,0,Where should the negative power return of a mobile transceiver be connected in a vehicle?,At the 12 volt battery chassis ground,At the antenna mount,To any metal part of the vehicle,Through the transceiver’s mounting bracket
T4A12,2,What is an electronic keyer?,A device for switching antennas from transmit to receive,A device for voice activated switching from receive to transmit,A device that assists in manual sending of Morse code,An interlock to prevent unauthorized use of a radio
T4B01,1,What is the effect of excessive microphone gain on SSB transmissions?,Frequency instability,Distorted transmitted audio,Increased SWR,All these choices are correct
T4B02,0,Which of the following can be used to enter a transceiver’s operating frequency?,The keypad or VFO knob,The CTCSS or DTMF encoder,The Automatic Frequency Control,All these choices are correct
T4B03,0,How is squelch adjusted so that a weak FM signal can be heard?,Set the squelch threshold so that receiver output audio is on all the time,Turn up the audio level until it overcomes the squelch threshold,Turn on the anti-squelch function,Enable squelch enhancement
T4B04,1,What is a way to enable quick access to a favorite frequency or channel on your transceiver?,Enable the frequency offset,Store it in a memory channel,Enable the VOX,Use the scan mode to select the desired frequency
T4B05,2,What does the scanning function of an FM transceiver do?,Checks incoming signal deviation,Prevents interference to nearby repeaters,Tunes through a range of frequencies to check for activity,Checks for messages left on a digital bulletin board
T4B06,3,Which of the following controls could be used if the voice pitch of a single-sideband signal returning to your CQ call seems too high or low?,The AGC or limiter,The bandwidth selection,The tone squelch,The RIT or Clarifier
T4B07,1,What does a DMR “code plug” contain?,Your call sign in CW for automatic identification,Access information for repeaters and talkgroups,The codec for digitizing audio,The DMR software version
